mapname,archivesize,downloaded,processed
Deathrun_gyro_Final_v3,2365760,1,1
Re_fy_Big_City_v10,1471238,1,1
Saw_Puzzle_Final,5823622,1,1
backalley_run_v2,833345,1,1
buses_from_hell_redux,822811,1,1
city_alphatest9,67224782,1,1
ctf_minecraft_castlewars,4315388,1,1
de_icehouse,3115902,1,1
de_xmas_hotel,5769275,1,1
deathrun_akai_sup3r_f1n4l,3704951,1,1
deathrun_assassinscreedv1,2009053,1,1
deathrun_atomic_warfare,10952027,1,1
deathrun_aztecan_v5,1180732,1,1
deathrun_bunker_of_death_final,1620376,1,1
deathrun_cb_egypt_v1,8650018,1,1
deathrun_egyptian_temple_v1,14054726,1,1
deathrun_family_guy_final2,7022191,1,1
deathrun_helix_b8,6702387,1,1
deathrun_hot_desert,6795894,1,1
deathrun_iceworld_v2fix,3418238,1,1
deathrun_marioworld_finalob,10224493,1,1
deathrun_outer_space_fix,2270961,1,1
deathrun_poker_final5,6548430,1,1
deathrun_rooftops_b4,10652070,1,1
deathrun_sahara_v2,1666787,1,1
deathrun_simpsons_finalfix,5231358,1,1
deathrun_sonic_fix,13838080,1,1
deathrun_southpark__rfix,9359123,1,1
deathrun_tropical_island_final,5219860,1,1
deathrun_winter_mountains,21793698,1,1
fun_allinone_css_v2,14429119,1,1
hns_neighbourhood_newguy,4960401,1,1
hns_newguys_new_home_extended,3635519,1,1
hns_supernova,4857932,1,1
ka_soccer_2006_v3fix2,1707152,1,1
ka_trains,701722,1,1
mg_100traps_v3,35531041,1,1
mg_14rooms_course_v2_s3,3583897,1,1
mg_14rooms_course_v2_s4,3583899,1,1
mg_2020_jahoukarail_easy_s,60006468,1,1
mg_2D_AlphaVersion_002k_Pakrat,13186670,1,1
mg_3d_maze,647029,1,1
mg_3k_smash_lego_copter,10710131,1,1
mg_4all_multigames_rc1,26478714,1,1
mg_50arenas_v1,68683985,1,1
mg_CT_in_Trouble_v1,5396152,1,1
mg_CommandConquer_V2,5242133,1,1
mg_CuteTower_hdr3,704383,1,1
mg_Devil_course__v2,35383518,1,1
mg_GumObstacle,11845047,1,1
mg_HnS_Office_Assault_v2,21578854,1,1
mg_JazzJackrabbit2_multigame,43814401,1,1
mg_LEGO_course,4071870,1,1
mg_LEGO_course_2,4894311,1,1
mg_NeXoRe_course,18055392,1,1
mg_NiMaFa_course_final,8130354,1,1
mg_OAKS_chutes_n_ladders_v1,41175851,1,1
mg_OAKS_multigame_v1,84585516,1,1
mg_OAKS_rathouse_xmas,55451406,1,1
mg_SWAG_multigames_v2_1,56811405,1,1
mg_SimonSays,5945549,1,1
mg_Sketchy_course_final_v4,37142915,1,1
mg_Struses_games,36852679,1,1
mg_TheShip_final,13696050,1,1
mg_ToyBoy,1831442,1,1
mg_WarmCup_Headshot,52694303,1,1
mg_acrophobia_run_v1_s,30578183,1,1
mg_ad_by_zeus_course_f_s3,29720364,1,1
mg_aer_fabula_v1b,42893164,1,1
mg_aircraftcarrier_v1,9338482,1,1
mg_airforce_marines,6791343,1,1
mg_all_in_one_sg_XIVz_fix,40019252,1,1
mg_all_in_one_velocity_v1,13933845,1,1
mg_am_autumn_course,5269671,1,1
mg_ancient_course_v2_s3,16670178,1,1
mg_anime_hardcourse_css,20555264,1,1
mg_arcs_multigames_fix,37179267,1,1
mg_arcss_multigames,74926523,1,1
mg_ataraxia_s,21699330,1,1
mg_awp_multigames_fix,9218901,1,1
mg_awp_submarine_v2,1237456,1,1
mg_aztec_smash,50990601,1,1
mg_aztec_strafes,6337951,1,1
mg_azure_s2,36887382,1,1
mg_bankrobbery_beta4,18003017,1,1
mg_battle_slider_v3c,18617751,1,1
mg_battlebuilder_v1_2,32253259,1,1
mg_battlefield_island1,26817273,1,1
mg_beach_assault_v1,18332662,1,1
mg_beachrun_v2,1664625,1,1
mg_bear_attack_hard,1578653,1,1
mg_beast_course_v5,8194025,1,1
mg_bifled_css_s,7835970,1,1
mg_block_change_c4_s2,46905302,1,1
mg_boatrace_scramble,10300470,1,1
mg_bob2,12547236,1,1
mg_bob4_fix,8811593,1,1
mg_bobii_reborn_v5_css,22821503,1,1
mg_bobiii,10581571,1,1
mg_bogan,13557917,1,1
mg_bossfight_dragon_v11,16453528,1,1
mg_bunkerspace_course1_s,49602919,1,1
mg_car_fall,128784,1,1
mg_car_survival_v4,11602517,1,1
mg_cardbridge,4614190,1,1
mg_cartoon_course_v3_3_ez_s,29058687,1,1
mg_cbble_course_beta3,1552831,1,1
mg_circle_course,22284434,1,1
mg_citadel_escape_course_final,17788143,1,1
mg_city_course_version_2,1041335,1,1
mg_clouds_multigames_beta2,55117047,1,1
mg_color_course_v5,24683269,1,1
mg_color_multigames_v2_fix,37629540,1,1
mg_colors_course_css,1194045,1,1
mg_confinementcourse_v2,13847850,1,1
mg_crash_bandicoot_party_v1,52054851,1,1
mg_crazykart_v1_1,34561513,1,1
mg_creative_multigames_v9,84931045,1,1
mg_csg_galactic_gulag,34112118,1,1
mg_ct_in_trouble_v2,5653184,1,1
mg_ctf_castle_wars,3316993,1,1
mg_cyber_cour3e_v6,34829912,1,1
mg_czy_multigames,14643648,1,1
mg_dans_course,4244028,1,1
mg_dans_course_remastered_css,38139408,1,1
mg_daynnite_course_b3_fix,23817246,1,1
mg_dc_course_fixed,8670464,1,1
