mapname,archivesize,downloaded,processed
mg_delphy_v4_r_s2,48700213,1,1
mg_delusion,50158853,1,1
mg_delusion_alpha,56223342,1,1
mg_dev_galaxie_course,17594325,1,1
mg_dfs_god_space_v1_s,22976537,1,1
mg_dinks_course_finall,33449179,1,1
mg_divine_multigames_v1,57364886,1,1
mg_dobaba_s2,14329021,1,1
mg_double_course_final,2194059,1,1
mg_dr_minis_course_v5,8248625,1,1
mg_dream_xmas_edition_3,84695897,1,1
mg_durpokable_v2,13091905,1,1
mg_dz_blackhouse_v1_s,13414868,1,1
mg_egypt_course_2_2,37744439,1,1
mg_egypt_course_2_s,37753409,1,1
mg_enw_course_v3_css,43805478,1,1
mg_eparlana_multigame_v1_2,54284273,1,1
mg_escape_final_fix,2800180,1,1
mg_escape_from_blackmesa_fix,23823968,1,1
mg_escape_prison_beta,6132094,1,1
mg_euphoria_v1b_s2,55654878,1,1
mg_fallingthings1_lim_b4,13186002,1,1
mg_fidgety_danes_s4f,17615939,1,1
mg_fiery_s3,13704589,1,1
mg_finally_many_z_fixed,28824368,1,1
mg_fishing,3313798,1,1
mg_fission_course_fix,35571415,1,1
mg_float_block_rush_hilarious_naipi_s,50338227,1,1
mg_floydscourse_beta,3797991,1,1
mg_fno_multigame,25117060,1,1
mg_foolscourse_v3,49720969,1,1
mg_football_v1,35340393,1,1
mg_forge_galaxies_v1_2,51118361,1,1
mg_fred_v4,9979311,1,1
mg_frightnight_final_v3,17155223,1,1
mg_fuckyea_course_v1,28332752,1,1
mg_fun_minigames_fix,26384503,1,1
mg_funmatrix_reloaded,25767650,1,1
mg_g2_course,5000699,1,1
mg_galaxy_course_v2,10968667,1,1
mg_ghosts_cave_v1,7687460,1,1
mg_gloutobloprace_v6,1407595,1,1
mg_go_for_it_bf,20008739,1,1
mg_gore_course_b1_fix,41625121,1,1
mg_grand_puzzles_f,14755193,1,1
mg_grands_multigames_2013_fix,47081651,1,1
mg_gravitycastle,1232215,1,1
mg_greencourse_v1b_s,2936649,1,1
mg_gruber_course_v2_1_s3,55514837,1,1
mg_halo_course,18760777,1,1
mg_hard_ground,785340,1,1
mg_hard_road_course_v101,4782354,1,1
mg_haxarn_mc_course,1279135,1,1
mg_hellz_multigame_2012_fix,43521461,1,1
mg_hn_compoundcourse2,21674650,1,1
mg_hn_downthetoilet_v1b2,10318450,1,1
mg_hn_randomracev2,17635520,1,1
mg_hs_course,2580091,1,1
mg_hyppy_temppuilu_coursefix,38432365,1,1
mg_i_hate_this_map_v1_1b,11509340,1,1
mg_ibaroutai_rfix3_s,46959422,1,1
mg_iceman_journey_beta1_s2,86020635,1,1
mg_ifionly,57485782,1,1
mg_ig_ace_course_v3_fix,15643052,1,1
mg_ig_bob,39782432,1,1
mg_impactgun,3197185,1,1
mg_inserttt,1861169,1,1
mg_invisibleman_fin,3738169,1,1
mg_iolite_multigames,55353255,1,1
mg_ipods_all_in_one_final,55335656,1,1
mg_items_fight_v2fix,7639023,1,1
mg_jacks_bhop_battle_final_fix,27685913,1,1
mg_jacks_multigames_v1,54714571,1,1
mg_jacs_multigame_rfix,30656369,1,1
mg_jungle_course_v2,3064792,1,1
mg_justacourse_v2,12470387,1,1
mg_justsurvive_1_v16,27819232,1,1
mg_ka_trains_detach,605876,1,1
mg_kane_course_css,3311477,1,1
mg_kegs_course_v3_fixed3,22466396,1,1
mg_kennys_multigames_x2,42265123,1,1
mg_kippes_course,8222662,1,1
mg_kirbys_brawl_v2,19620692,1,1
mg_kirbys_course_v2,16795644,1,1
mg_knii_tower_1,5417810,1,1
mg_koaes_s,19449276,1,1
mg_kohztec_course_s,49454490,1,1
mg_kommando,7807089,1,1
mg_kuolon_kiip4ily,26080260,1,1
mg_laboule_industries,39193048,1,1
mg_last_light_v9_css,7116435,1,1
mg_lawl_course_final,25937501,1,1
mg_lb_holidayclub_fix,16244714,1,1
mg_lego_builder_v1,2742764,1,1
mg_lego_course_3,5300191,1,1
mg_lego_course_alexxt_v2,19527738,1,1
mg_lego_course_random,11167942,1,1
mg_lego_course_titi_1,21038695,1,1
mg_lego_multigames_v2,31947100,1,1
mg_lego_nxr_course,12954485,1,1
mg_lelouche_deadseas,23660714,1,1
mg_lelouche_slender_v2,20626746,1,1
mg_level_up_bound_4,356226,1,1
mg_liquids_rage_course_v3,1603166,1,1
mg_lt_galaxy_v5,49754168,1,1
mg_lt_glacier,36370565,1,1
mg_lt_metropolis_v2,19519695,1,1
mg_lukas_course,6899889,1,1
mg_make_a_route,315735,1,1
mg_mario_journey_betav1_s2,116454257,1,1
mg_mario_kart_newguy,11547093,1,1
mg_mario_kart_v1_fix,8162307,1,1
mg_mario_party_v1_0,47880733,1,1
mg_mars_course_fix_s,31271606,1,1
mg_masogs_course_beta2,4888360,1,1
mg_maze_egypt,14701373,1,1
mg_mc_adventure_random_v11,23731023,1,1
mg_messy_bak1sa_s,29078286,1,1
mg_metal_course2,19406521,1,1
mg_metal_course_level,7664094,1,1
mg_metro_course_v3,1557434,1,1
mg_mgsbox_v2,1551939,1,1
mg_mikis_course,30758498,1,1
mg_mikis_multigames_v1,44707526,1,1
mg_minecraft_battle_v2_fix,30132285,1,1
mg_minecraft_course_jb_v1_fix,12804868,1,1
mg_minecraft_course_random_beta,14514275,1,1
mg_minecraft_multigames,9413752,1,1
mg_minecraft_otherworld_s,15415642,1,1
mg_minks_course_beta_v2_fix_01,5792680,1,1
mg_mk_colosseum_x,9765847,1,1
mg_moarlazor_course_v3,14557893,1,1
mg_modern_dev_s3,10596329,1,1
mg_mountain_course_gk_v2,6599365,1,1
mg_mountain_v1_s3,35216482,1,1
mg_movie_madness,49181520,1,1
mg_movie_madness_fix3,53518930,1,1
mg_multimap_orbital_fix4,19457744,1,1
mg_multisports_b2_2,66892372,1,1
mg_n64_goldeneye_v2,47499493,1,1
mg_neatek_course_fix,11771144,1,1
mg_nebo2_course_s,34499913,1,1
mg_neio_course_v7,372911,1,1
mg_neox_multigames_pbeta2,16369866,1,1
mg_nesan_course_v3_fix,23523000,1,1
mg_new_high_score,28867492,1,1
mg_nightterrors,40362588,1,1
mg_nimafa_2_final_fix_css,37309369,1,1
mg_nimafa_2_final_fix_css_f2,42196969,1,1
mg_nimafa_3_final_v3_css,38379315,1,1
mg_nimafa_3_final_v3_css_f,37435047,1,1
mg_nira_course,10253637,1,1
mg_nm_jezz_course_fix_v1,23698330,1,1
mg_noggot_course_fix_v2,23556796,1,1
mg_noobs_course_b2,1299138,1,1
mg_nwave_course_beta4,27857962,1,1
mg_nx-neox_course_2_remake,24751092,1,1
mg_nxr_course,5203887,1,1
mg_nxr_course_2,8558597,1,1
mg_oaks_course,2781602,1,1
mg_oaks_cruiseship_v2,9020122,1,1
mg_oaks_laboratory_fix,34423592,1,1
mg_oaks_skyscraper_b2,95474769,1,1
mg_obstacle_final,1942958,1,1
mg_obstacle_legend,4304839,1,1
mg_office_coursee,5790738,1,1
mg_orange_v1,9917515,1,1
mg_pacman,1035523,1,1
mg_paranormal_course_beta,3002224,1,1
mg_parish_course_v2,41166774,1,1
mg_pauls_minecraft_course_v2,7025384,1,1
mg_pauls_multigames_v2,37184700,1,1
mg_pauls_multigames_v2_fix,42564225,1,1
mg_pauls_obstacle_challenge,858298,1,1
mg_pauls_smash_reborn_v1_s,11323980,1,1
mg_pauls_smash_reborn_v2,24951625,1,1
mg_pauls_teambattle_v3,8855105,1,1
mg_pavlos_building_v1_css,19428054,1,1
mg_pharaohs_tomb2_v3,14820713,1,1
mg_pharaohs_tomb_fix,28113629,1,1
mg_phoenix_course_v3_1,38483851,1,1
mg_phoenix_course_v3_1fix,20861813,1,1
mg_pilots_course_2014_edit_fix,1205080,1,1
mg_piratewars_2012_v2,7120184,1,1
mg_polar_panic_2,4583078,1,1
mg_police_station,1775697,1,1
mg_precision_b1v3,1642746,1,1
mg_purple_course_csgo,10260933,1,1
mg_purpokable_v2,6879640,1,1
mg_pw_haze_full_v2,73940058,1,1
mg_pyramid_escape_fix,23249296,1,1
mg_quake_dmc_b5,49700941,1,1
mg_qube_course_level_css_v2,16623651,1,1
mg_quiz,1310243,1,1
mg_randomizer_v5,23674376,1,1
mg_raphi_multigame_v1_1,52344455,1,1
mg_redkingdom_s2,10970993,1,1
mg_remsopor_encore,45641507,1,1
mg_rezonate_course_v1_css,7675916,1,1
mg_rh_last_rain_f,33886950,1,1
mg_riskreward_v6,26812166,1,1
mg_robz_course,2300683,1,1
mg_robz_course_remastered,2340324,1,1
mg_roche_course_fixed,5298281,1,1
mg_rogn_new_s,11530725,1,1
mg_rokear_minecraft,379240,1,1
mg_rota_derp_v1_1,32221212,1,1
mg_ruinztrap_course_hc_v1,22238340,1,1
mg_ruinztrap_course_v3,22265778,1,1
mg_run_fetboy_run,1297739,1,1
mg_run_run_run,2685066,1,1
mg_rx_legoescape_v1,20906481,1,1
mg_savetheisland_course_final_s3,78702528,1,1
mg_saw_2_remake_v2_fix,4781690,1,1
mg_saw_3_fix,5044501,1,1
mg_saw_iv,2017007,1,1
mg_saw_legacy_v3,38026015,1,1
mg_saw_rfix_64v,4148542,1,1
mg_saw_ultimate,22798500,1,1
mg_scari_multigame_v3,10119406,1,1
mg_scary_course_v3,6725103,1,1
mg_school_course_b2,33062841,1,1
mg_secretbase,9493575,1,1
mg_serpentis_temple,76333992,1,1
mg_serpentis_temple_V1,64758138,1,1
mg_serpentis_temple_b1_fix,91476693,1,1
mg_serpentis_temple_b3,65153763,1,1
mg_sg_allinone_skill_v2,20996214,1,1
mg_shadows_course_remastered,31114725,1,1
mg_shinobi,19926733,1,1
mg_shroxx_course,8812608,1,1
mg_siberdev_2_css,23824674,1,1
mg_simple_course_2_v1_fixed_s3,26016555,1,1
mg_simpson_road_course_fixed_v2_s,14451382,1,1
mg_simpson_road_course_fixed_v2_s2,13780636,1,1
mg_singularity_course_s,37656156,1,1
mg_ski_mountain_resort_fix,10100771,1,1
mg_skillixx_multigames_v2,59704872,1,1
mg_sky_realm_v4_s,7085695,1,1
mg_skyfun,5517970,1,1
mg_skygrass_balkanstar_s,30639652,1,1
mg_smash_cannonsz,4035409,1,1
mg_smashfloor_v3,1269884,1,1
mg_smee_tower_defuse,2113797,1,1
mg_smee_tower_fix2,1563013,1,1
mg_smz_detachment_v1_s,21840508,1,1
mg_sn_naipi_v1_s,31346845,1,1
mg_sng_roll_s2,6058680,1,1
mg_sodan_lab_v2_n,18563924,1,1
mg_sohigh_course_v3,11444759,1,1
mg_sonic_islands_v4_s,35219498,1,1
mg_sonic_multigames_css,80856955,1,1
mg_sony45_course,18087907,1,1
mg_space_course_css,6436063,1,1
mg_spacebase_v1_fix,8375014,1,1
mg_speed_domination_2011_v02a,30930862,1,1
mg_speeeeeed_v2_csgo_s,11037879,1,1
mg_splintex_course_v1_fix,6949285,1,1
mg_starwars_v2_4,7354045,1,1
mg_stone_of_destiny_td,46950309,1,1
mg_sweet_course_fix2,2018865,1,1
mg_tankbase_v2_fix,12123120,1,1
mg_tankbase_v4,10929303,1,1
mg_thc_lego_final,46562062,1,1
mg_titan_mode_night_v1,15858649,1,1
mg_to_hell_with_this_b4_fx,15829126,1,1
mg_tomgreens_allinonev2,16681340,1,1
mg_tomgreens_obstacles,1083760,1,1
mg_tower_defense_source_v1fix,46503266,1,1
mg_towerdefence_v1,2114557,1,1
mg_toyboy_2,3275672,1,1
mg_turvassa_multigames_v3fix,57533076,1,1
mg_twotowers,2521509,1,1
mg_vaginaspasm_course,27787370,1,1
mg_velocity_tower_v3,11536665,1,1
mg_vndt_course_final_s3,31905120,1,1
mg_warmcup_headshot1,52711684,1,1
mg_waytobar_course_v2,15685683,1,1
mg_winter_office_course_v3fix,23734166,1,1
mg_wintervalley_fix,10626464,1,1
mg_wipeout,10712163,1,1
mg_wipeout2,28576716,1,1
mg_wl_multigames_v3_1,44213508,1,1
mg_wolf_course_v6_f,29212406,1,1
mg_xix_multigame_x3_fix,56185299,1,1
mg_xmas_nipperhouse_v3_2,16448939,1,1
mg_yolo_multigames_v1,39129633,1,1
mg_yourstory_s2,79270701,1,1
mg_zeizeiii,23163704,1,1
mg_zeizeiii_2easy,21896598,1,1
mg_zeizeiii_xmas,23715251,1,1
mg_zeizeis_office_v2,51509174,1,1
object_drivable_bus_v6,1898377,1,1
pistoleiros_v3,2513934,1,1
r2s_ghn_peril_v4,18819852,1,1
r6_chalet_xmas,101548629,1,1
race_pepperland01,7442766,1,1
real_life_posti_v1,11123937,1,1
speedrace_v4,2809022,1,1
track_monster,6383377,1,1
xmas_lodge,7935106,1,1
xmas_nipperhouse,13791970,1,1
