mapname,filesize,filesize_bz2,sha1,note
Aim_map_dps re5pect,1691864,273009,6605f3908428fc7a5a793e4d909bfcc5c5c551e2,107972_346348_aim_map_dps_re5pect
bhop_MiX v.1,2162008,664771,0323df0fafb74d570dc9e1c45ec231ca05be04b6
bhop_MiX_v_1,2162008,664771,0323df0fafb74d570dc9e1c45ec231ca05be04b6
mg_houserace_v1 (fix),4125440,1005306,ad40ba6f49e7df29dd5d7477a00c100cb9713dc5,128116_278726_mg_houserace_v1_fix_
stonetowers (2),3769100,443650,a308f15fb6fb6b6c02190b146876f96fb3c27ed2,120243_342339_stonetowers_3
