mapname,filesize,filesize_bz2,sha1,note
prefab_injuredguy,268504,13740,3c194716b13a020185ee0e64b8f35aab58e4d7e4,2176_450308_prefab_wig/prefab
checkpoint_system_ents,144172,11574,0031eff9a2f012a4981d47f3d1a588c682439ac5,2178_496241_checkpoint_system
lighthouse,264244,60589,f2f53d098e671b7cae683aa93342523117a48bfb,2591_416714_lighthouse_prefab/lighthouse_prefab
lighthousemodel,3888728,287131,38b7ee852c5f4ee403ecb5b7c285fe3dcfae9751,2591_416714_lighthouse_prefab/lighthouse_prefab
mkzk_agl_v1_testmap,723532,113421,e472ec6e13301f103e5ba6d8f6214ebfa00b46e4,3075_441147_mkzk_agl_v1/MkZk AGL v1
