mapname,filesize,filesize_bz2,sha1,note
$2000$,869920,547352,11d723eae41c2c8f6345ade9f3086bdb00dcc13b,
$2000$_HeLL_Remix,19113947,14144400,b9ed132362411838a94b06b116165b1c85140fc8,
$2000$_ideal,3858588,535731,f28dff06ceae9c644eea22b0defb89958f4d8ca2,
$2000$_ld,6268712,2203376,1d69c1931d5a1e9ffb58a93595b1a78d268f13bc,
$2017$,1687248,911513,01f96ee7ea6916dd23189e2a7fc6e3b79b46be42,
1701_SurfNcamp,1320280,505575,e0d97d0ba3785e658b33437114592d746c2952cb,
1hp_classique,3193082,829694,60c1155cd9ad285c5e5f2cda41b8e553566762ef,
1v1dust,1337276,365692,5dc128b973e96f8568f33a8dfdad946bdab03ac4,
1way_surf,5399608,505026,f3430c10b6bd7f946697d56a6d2f81ee2ef0d419,
2ramps,668148,268128,584b1625238c7f8804fe4b74919b128619395ef0,
3mc_training_v2,1614072,750718,498b9f76058e65c135ad04c31492759a0dee6814,
aaa_surf_devnific17,5880204,2315427,2d740c71547835bbd111238a4539d44649ef18d4,
achieve_arena,15780597,6569375,8b9a59b266039488e40b73722ef1820efdfab4a6,
ad_egon_world,22081804,7886330,fc8c022955f9ac443405dc35ff66d0bc4a7e110d,
afp_arena_deathmatch,767740,260282,c918d5916bb15b1e7bb2670c79fbd8890e4bbeb8,
afp_de_Prahova,630564,213695,200e8937b456b3fead993718d13ba2aa1c79fd6f,
afp_de_western,3318960,1495219,df6c334a791bce3fb6c7a5551ffef18c6d217053,
afp_short_taktik,647876,217305,b70e347d0f037c445c0230ac978354aa141c3ebe,
ag_rats_balls,5045540,2076782,b3596fbe882878b8e90bee08464419d493659d86,
ag_rats_scout,3250464,1113651,ed1cdc8b50914afe37a140fbddd112191d6ac439,
ag_rats_train2009,2919360,597703,5f913529da3ebf3131029073c2559b96d4b68095,
aim_1deag,1296225,238991,0a174a17aa94cef2c5f950d3a33a3e30b0c119bc,
aim_47th_nightoftheshotgun,935120,298553,0a563f07c9f465e1c10900fd652d8ac06058b56f,
aim_ag_minecraft_city_fix,4704060,1432912,c62263ad2bb56d28b766d5c022fbef572c2f76ef,
aim_ag_texture,678628,184766,7696cde65a91a37c121242890be6888e1c07b06f,
aim_ag_texture2_modified_v2,1846788,615306,a6b4083299d323a3b66ed96c4a80d815fe74c5c6,
aim_ag_texture2_remix_5,3232832,1215616,b631d39ab56515d76fb5505c1b12e52de0aba4c1,
aim_ag_texture7,1311776,401552,30debe4e404f549fb5e69e39af634de8144af5a1,
aim_ag_texture_agc,1024548,294226,15cacc366c03750f214afc8cb071c8d66d8fe366,
aim_ag_texture_arena,889732,279651,7044d6a7f13ff7f66cd5e9795e1115afd7fd0631,
aim_ag_texture_city,1786012,615896,ad25333df752fa0cdfba78ff58f5b1d800a634b9,
aim_ag_texture_jungle,4441940,1541445,1cc3f81a9936c72f808e0fd59e6b335af1571b0a,
aim_ag_texture_suntowers,1145484,472607,3a19bd46f257ae6692c3861e43ba8935fe322a27,
aim_ag_tyr4,470708,230094,bd94236c8cb57bf665d92b14b348de2f520f2279,
aim_ak-colt_dust2007,2149540,901793,1c0a6503b10b0870f75540249d14bc7c3c9f23e0,
aim_ak,1463668,287650,c3d8acd80aa59b963954f0e95d10b015816ee2c1,
aim_ak47_training,68081006,20852982,4cf4c6d4610bc4051a68c067092be06d1be37a41,
aim_akay,1679424,710660,09e55a03fe115363d255adbade20d1da614c63f6,
aim_ak_colt_unreal,471216,165471,d49fcf3f47531160f86bfd5e70c519587bc9e285,
aim_an_deagle,8907747,2728451,67319efdc72a2bf8c1a6718defed051068d464d7,
aim_an_shipyard_pro,5527884,2406714,045a050bde277175e474df1459be19a32e8119d5,
aim_apofig,1337564,322227,89139b8d98e15c6c6d1908724f7f84cee0625560,
aim_awp_war-area,2566592,769100,afba0f591305b2819e17c860cf82a8eaa4425d8e,
aim_base_traineng_v1,2659813,946668,ea7f5a37e2e3d268e8185c5099cd14d803219a16,
aim_bc_texture_7,2737534,1906951,7677d25ad280c3518dfe901f873ccb81fd0ac2fe,
aim_bliv,1320564,379777,daa7d637f72eef86fd511420a280072977f4a470,
aim_Blizzard_hell,1868985,599700,31203cc67ed846b9a3e08bb4933930858e4952ad,
aim_Blizzard_hell_v1_b2,2754332,1536800,6cb22c31a9f020ad92e014c723862e7a916e9529,
aim_bos,11865836,3962476,27a914195f7d1366c5360ffb61237ae54279fb4c,
aim_c17-train,14465224,4117545,e35831b37a3b657a84f77626fe1df23605096ddf,
