mapname,filesize,filesize_bz2,sha1,note
aim_deagle_Fury,1612089,535090,7a2cc98cc046a316088f1cd62a855a02e2f5a310,
rp_downtown_tits_v2,211807706,109654429,bdf51db2723bebc8e80804d981835cb90b590a86,
rp_downtown_v4c_v4,83369838,35757600,3c1bbbf3ff3a8139ae0e2cec7dacaeba5163f04d,
surf_heaven,59234347,24240752,51240dec179c36c0142c138dbec3fe9343674122,
surf_quilavar,52810640,16784137,b13198a9845738045439d74c467ba48958837bab,
surf_singletons,19424238,7342594,07c1bb286287ca8825f371948dd45adba86ba756,
surf_trance_ksf,75243043,27428161,6a57b2141516ef9f55921b5f1ae7d15402bc85c4,
