mapname,filesize,filesize_bz2,sha1
Surf_Shimmer,55034908,22720733,adaff8fa4b835bb4ea98ddb1de05bc408bdc2ad3
bhop_asendrix_v1,105239604,37834088,9065b6a417d37ca28fd5e8ba4d1fbe0e90cb1029
bhop_badges2,156609779,64701296,2f734be4595a0ed825938cdfaef06c85aaac29dc
bhop_cartooncastle_kzmod,22174096,6009875,55fe1cabec44e2ba15960260e60d1d4960c6bc6a
bhop_kz_downtheravine,16680576,4682410,8ae8ebff833385133eadf40a75fbf232797f73af
bhop_kz_sewer_ladderfix,56080421,16734237,eb4f7a0af376ad4b2375463e12dfc5af0c4778ef
bhop_kz_tryhardkittenz_fix,49434931,32667920,8150b52f1036a9f41925802023a37e873d3672a7
bhop_kz_zigzag,66156296,27591922,98bbe5ba5b26b6b5ea06dbee8efa742cdbb00f6c
bhop_scroll_killa,17196204,7684898,7ba7a466bb99d8fe79b4f2adafadce2c4ee4625b
bhop_strafe_fixed,26060696,10395029,6da293960bc9298e6143a9d7ccfcb3f6097c6874
bhop_wice,10363866,5232753,59912f46055ed6b98f21dd402486c4605787bf40
kz_4youreyesonly,55902072,19595439,f08de8bbd2a865470daa9e3e6769d9a8e43dfd0f
kz_aggressive,145656784,70276623,bd85acc1969bdd8ac8880fd878bd07ae3e40b23e
kz_aggressive_ez,145040836,69714407,6cde88be3c04ff2c9a64055cd52cf09836378c75
kz_ahorma,8232862,2837043,165c28d5a6e3f340a3767e110a43a2d497ef3ea2
kz_asendrix,115771504,44600445,ae8c1cc95ecf38b59e3faa8b23a5d15e8b8a77cb
kz_beach,47459468,20235624,edd302381dfed0f9a05c6a7a4de256ec33f52817
kz_bhop_Itriedandfailed,2842248,668722,588ec96ea37e7d61ea1abe9b73805027c5b3f6a6
kz_bhop_affinity,13521607,9560090,4cd58440bf37d9302d6c45fc8158efdee47236c6
kz_bhop_agartha,294830441,170842450,7aa25d15e597e083b0407232630e51183ea1a000
kz_bhop_algetic_fix,146358207,146666908,c6e475d55a4e29cf9d9a7682b624f1c1ab6720ac
kz_bhop_ascend,4910717,435910,a94aecbdca33d32e7d08df43ab0f7f41066ef133
kz_bhop_badg3s,518663142,288066901,9fc0b8cae5c83033bac0a22d0759dc5325bcb2a7
kz_bhop_benchmark,126778068,53275070,fa14bdc22a55764a25ffcf31282ac72b42ef2943
kz_bhop_cage,12416128,5843890,7c61b4a1fb267b81a719b7823dbd4f274e09dbaa
kz_bhop_cruma,21940024,10219478,f7a2b70f91254f67d77ed4c1b9cf0febf1c6a193
kz_bhop_delusional,7710358,1615911,2ba79add063589d29b67198320d9c5f961f06231
kz_bhop_deserted,45566878,11841843,a69429bee6c52379d8788df0c9ccf383ed0862ff
kz_bhop_drbhopzremake,21353807,4432389,a22c44fd6d631894f8f21b38f2973d2ec27bd844
kz_bhop_dusk,78035970,23622149,3778b83ae127d0e240c90c1f7f8f645a727079f1
kz_bhop_eazy,8176099,982839,b30254adf5174519c6f81530af8be92562cb2dc0
kz_bhop_essence,63430938,45273022,8e6788a6cdeea7fd2642587b82de47f1e309defd
kz_bhop_experience,193321822,102347458,7c107f456a191d8d435a5e57ae2e645053b0e78b
kz_bhop_global,165103178,69042518,37324a62cfbdf9743b553acda337ad9327cbf4b5
kz_bhop_heritage_fix,230543705,125018009,961ceee4b70c3f9f3f602cfde65e389a1706b8e9
kz_bhop_inception,38202345,18353616,42a7201254b3074e1e75e409d94b90772b94e28d
kz_bhop_incident,619804487,393508035,ece0c48c48e159d6aef109e5ae7929932295eb5e
kz_bhop_indiana,57604592,30060190,c3b7f92b95ba70556c5d108af5dc71c78569f96f
kz_bhop_industrial,236041026,129402487,843ac491275d422f27da678157bb2d1d57c7d267
kz_bhop_izanami,86101257,29436465,2a6d4cbde8994f83e7b98e88520b2aac8a304705
kz_bhop_koryouz,29327812,9853986,3d11cd1b5df9a51d2ea6a9099b83bf6263c2f026
kz_bhop_koryouz_no_ladder,28804620,9712915,8b0df510a9d08600bf5cdf69e780b0356d740673
kz_bhop_kurosaki2,77722967,24095249,b153d983603a97d7d16cf02e2c6522cac6595721
kz_bhop_learning,44826947,9595837,ec08eec7f629d780857ffa003a52715d5943eb0c
kz_bhop_lj,29947512,4933727,c1a636ff9fc33055a09b8049fb7d27d6c1bc71f6
kz_bhop_lucid,89914155,39736081,dcd519025fdaf2fb0e841462bd97b05cab860a71
kz_bhop_m4dara,31923938,24690240,170548a3d6e5d03ba890871fba6b6636dd1a617c
kz_bhop_minimal,260655802,55863260,5f99ce8b9fcfbbbdffd3bc90618e33c1be76d232
kz_bhop_minimalism,57242472,15223728,901c94b59b2e4712f4497dca4443100f0d5f267d
kz_bhop_nemesis,355462901,190472205,d7b2b04d3ef1f0affdefd3beed11d2e4dea67d23
kz_bhop_never4,6568035,1118592,808f11a4c68c73ddd265cf547f14f0f599c0c7f6
kz_bhop_northx,283043582,132003790,ecebb9ab49dbe6a30e2fb50e691d964d1b758dcf
kz_bhop_ogle,1968028,755356,50a30584e196f5adf2e7f61b17fdcdbd818a710c
kz_bhop_peaceful,70867260,46944033,acb7d020b92f66ebc309d311c575d269a0b4c023
kz_bhop_proxy_null,158102727,77674741,943aab71e934237c300df92281621cb87a35204d
kz_bhop_rainbows_fix2,36595740,30241491,fc8ed994ef4ceb5c8956e4c53ee91950bc57d18a
kz_bhop_sakura,34339902,25849739,aa924b90463d0a6c0229314837d23b92827c1ab7
kz_bhop_sanctum,147159346,69041628,6c0ce6a0f49b9bc3189ddb8af1865633a5e39432
kz_bhop_serz2,100214700,41803265,8b349d0b86bd530fd7f7b191d4b258715af4ada3
kz_bhop_skodna,71530709,17928106,9db012e053dacd0e63005bb6fe22b522eb5619f1
kz_bhop_souvenir,38720634,21061553,fdd1725683b527df8cedaabefc3789023c0af29e
kz_bhop_strafe_comjump2_v2,289751600,143246584,e18b406857c1419fc5a082685777d2ddc37706b9
kz_bhop_strafe_reborn,9182490,2290689,d40dd4f5ff45ff737bfd5645264ad3089f5023b7
kz_bhop_tradewinds,289828501,157686171,597b01719f8124b3ae3ce171fc506c7ecb2ecd4b
kz_bhop_tradewinds2,346588581,228664487,8d2cca8322f15de664b25fbf1cf6460e027f3187
kz_bhop_waterwood,21919557,13508321,9f9e5b187f8b9106e98b6d6eb5f201829624a599
kz_bhop_waterwoodwood,14971599,6749878,79069721a552e188e9112dbd4a5a48fd8be13670
kz_bhop_yonkoma,92868036,39496186,5f5aa3f074abd3e1de27c22d2740fc09c3a24d36
kz_bhop_zenith,35264636,15016886,99f29ac629a1c9ceb1e810bb95deb038ddda13c2
kz_black_and_white,8238616,2007980,bc2bb19a09ef29ccb21b91dcc6fcac1c5b1fd51d
kz_bricks,48351136,17499900,2b28f173dc201a4c60b1cb0559c9404b03e0b9eb
kz_buildings_fix,37729637,14904079,80e89a14b9b0d14966897c3340b48a97afb01070
kz_cathedral,39145357,15613259,d8f3837d2223bd61a53cba768b5dd9baf743eb27
kz_cavewell,38932000,7638919,2c62b5c2aa06926601b2adfa9dbce0ce5c9972da
kz_chase_nocp,154425807,81324351,c4f07a944635a91ea000a0ad395b695ecfeadd70
kz_city_extreme,8592856,4125400,c53b508e9079bba1f2a1031c9151619dba7edc72
kz_cityswingers,31822940,9744678,38b948fab557893356aeb89bf2d2e0827020826c
kz_climb_to_nowhere,13248998,11167659,e5a9441331b5e7902665c8b9fe3c434f709404f0
kz_clocktower,71422532,16540933,fc716bc0e660682007071a971ceeed36972edd3b
kz_cloudwalker,59743925,27806246,cb9256eea94ea52ff1841b0676547b8f77bf3e33
kz_computer,29241352,4187417,c37ad731f5eedb7b69b981b1cad0bcc3e58b7541
kz_concept,71613523,29301101,674d12706a11e67bc3c25cd7fd121f13b72d1508
kz_cookbook,19477888,9267060,7e65d33acefb0cf781495ad2f447b842a3fbf8f4
kz_cube,38273308,15730559,0a2b81f7db05c93728718aa634f3cd38d9519133
kz_date,28611104,2969524,d9917872ac3929c3aff78626a9ead2c0cb68e77d
kz_date2,18964000,3614039,4f479d3899000b67f45e31ee83c108d5903fa1b4
kz_ephemeral,130513457,42301330,ad2d05d62a326b192bc9b1e23d602f27fc5c976e
kz_excavate,14719056,3855490,bad87b5141aac61014458be289e032574531ac45
kz_ez_colors,36150942,7635393,1276cd30993ca21507d82a6b0f482befa6e65810
kz_fatigue_v2,7413791,2380750,551ccee0874cf010efa0a442cf9a8fb745f620ee
kz_flash,2226866,676570,a0a43158ebef525deab6f3e1164f0bc803537b5f
kz_giveup_beta,1126584,353053,337e81c393a28793c3ce565c8303e49751e03790
kz_hb_holy,14564596,3518101,21953025d88da538dc92e6073337fb191f770fa0
kz_hellinashop,29804278,11402558,7c8bcc61843834e55be373d682a4d7796613a889
kz_hikari_od,118952105,54989571,0b5099315c490a60b54d54ebfc849bc65ee25d63
kz_invasion,134948612,57879794,8fc66686ca1c31991a0c504bd771c7f6361e027d
