mapname,filesize,filesize_bz2,sha1,note
$2000$,869920,547352,11d723eae41c2c8f6345ade9f3086bdb00dcc13b,
$2000$_2k,3321307,2055311,0cfbc94c3ecda7fd8adc57d1324df5166a459c73,
$2000$_cordobe_,2419708,659198,eb2fd8f450168e8c5907b31736f19445ddc096e4,
$2000$_dust_bt,3140304,1248843,8bab5de067f16d0c392c2268193826e1b1498aed,
$2000$_external,1958464,778944,b08b7bf88e2fa0525b87aa02eb096a797af70082,
$3000$,533316,245612,eaf19679b118496b6589041a9563667e990ee267,
128p_test_css,333636,8933,14608ccb5dbc8141b556da6704f4f3aa3593de01,
35hp_beta3,2193860,487576,f613a7a6107969d1fa8a608f712058282047042c,
35hp_Nailer,24844115,11655879,28525e92d2fc6beea0472d8b2ecb0e85fbf6f56a,
3mc_training_ultras,3887911,1167860,ff3c9ccc07af6d8ee8270741484d7627cd7b7147,
3_5v_rotcaer_okam_iivff_ez,99453006,99767960,251eac58e6a70e1ed53f4f1ecc8dec837a7feb8e,
3_b5v_rotcaer_okam_iivff_ez,68956229,69128172,a40c3272b382c9c441995a3de19e4a199e5ab630,
5v_2yawanur_potfoor_ez,5840768,2334141,e782aa429276c10b95975006f626faa943275f97,
ad_egon_world,22081804,7886330,fc8c022955f9ac443405dc35ff66d0bc4a7e110d,
aim_ag_texture2,1159140,367900,dc87dc5d11713ff98d9da6d00118819d98b2c0eb,
aim_ag_texture_city_2_fixed_2,9504617,4421803,f14e2070c72f1dbb9737078ad2ad06faadd5d572,
aim_ag_texture_city_advanced,3926248,1290581,347948b9fd8417385373f2013e9583d3322d962a,
aim_ag_texture_city_summer_v1,3355044,1136656,b31b7ab15dfeeceba7908b5d221c188485a6cc64,
aim_ag_texture_jungle2,13910216,5452195,82875516c5eec2c26fb2f9f0fba333e47b092968,
aim_bridge,17686464,3092638,92e5a32f76a2f0816eca62198aecf676129518f6,
aim_deagle7k,1612089,535090,7a2cc98cc046a316088f1cd62a855a02e2f5a310,
aim_deagle7_off,1612089,534995,23b29cfa203e2c55512bf9f922a18cabb79bdde7,
aim_fair_edit,2133440,901373,11c7bad4231d5ac3e98dc688a7526b05113d02c2,
aim_map_usp,2053352,272889,89f6dd234f3eec5b5e473b991eabb19fac827ad5,
aim_matrix_lobby,4980500,1442838,194f64d81e6c6b5e093d0476671fb9e06a9ecb26,
aim_pool_table,4689141,887295,c1e8828475c48dc7ec7c5a3ce1bd654443e9b82b,
aim_scoutjump_v3,1142644,147909,56fc46f746e741e56bd6158150bc1ee0cdbd49d0,
aim_texture_oldtimmers_club3,10248049,4124690,8b962e126139f5dd29044b41f3995d49e59d585e,
All_in_one_velocity_v1,41956202,13810001,f0b94cadf54079bc41991339933d9c1e1a35e010,
arghhh,84283811,46242777,6394e7a1281ba033cb31746cf3e366cb59f3f0d4,
awp_game,2964533,752391,cc5d4c9c983e6aa63e0b15d3feed1ebfb3ce4a8a,
