mapname,filesize,filesize_bz2,sha1,note
cs_derelictfactory,13394308,2357701,12b51134cb0a168185669b50791ab7be0a06bddf,
fy_construction,3716036,838598,10957347cc909bc88df9bf3703abf745d8fe8ab0,
zn_metro_v2,206292737,86328297,a53c8d524bb307c828deac45ba657991c350c67a,
zombie_grimoffice_b3,5936978,2700062,db5b856237fd93b146e7bd4052a91c2f6d55bd7d,
zombie_riot_info_matik,1368808,415224,ece0f1d67e162699f19bc110006853dc2fa8a204,
zriot_spaceship_a3,2839172,712205,7d99a7b6eeb1841d1f3623e98763abdc372f2e24,
zr_abbottabad_fix,12821696,3327539,499cfd1e9df01c67d365541c8a3781a0db2e2319,
zr_construct_b1,7894592,2505545,d1ab68ad8e1f8cb83a5a6bcdb144cf7ba709c092,
zr_defence,6350054,2675213,fa41adb053f53b7527dbf8d71fa79966903d9fa2,
zr_dust_v2,13843856,4748412,22305e5a23b13c708dceae31b1732028ad0c6918,
zr_house_v3_1,1096024,421368,2d867080113f5c54fa2922ac76f93f60f05ab661,
zr_jatapur_unloze,3534388,1549594,55ad41885e759c942f7a9e2599d599968f5ef439,
zr_lila_panic_v2,2447064,433438,6e731ee56cd410d6886d4b75facecd984a46f0ea,
zr_little_city_roy_v2,27579681,10421177,38918efee53c3c24774bd7f101281b33a12f58b5,
zr_maze,1542464,206445,0f9b73f0bac9a87c7867a8a552e310546ec0baaf,
zr_nacht_der_untoten_v6,9677001,4466223,826b756481fe90fcdd3816ad0c5978f75d6ba789,
zr_old_underground_beta2,2177309,1042920,21fc537589f0a6fd2d9a15d4c3199c1a3f420e20,
zr_palace_in_the_sky_v1-1,11197725,4099855,4c3c5865831f33b458f336b26ebfb1cca409aaf0,
zr_piranesi_v2,14989032,5090530,5dc5b4d14b59f8a08c769eedddd0bbd7405bf352,
zr_snow_war,2675015,1356300,0475998b85bcbe82e8863966ea984dcfb3af0f1f,
zr_streets_beta_3_unloze,31659696,7624739,c2deb9a1e2e9958cc3f57ffcf3603779e7606cc1,
zr_toxic_lake,6516908,1195132,776dac3c5bd974fd0bb0085727eb1bcc13eba2d7,
zr_warzone_ep2_fix,2381844,501862,c05c7a1e365327dc70024d7f6bfc7ef61e663a57,
