mapname,filesize,filesize_bz2,sha1
bh_aztec,1625300,482826,39a13b3c78a60933c48283241f8edb163ff64c0d
bhop_Zyper,63526192,10614054,593fb0d3fceba8ce646031db8652590f55feb0b9
bhop_choice,11601071,4162842,4b8154131857cf7da13475e61304f2424284bdbd
bhop_death_star_escape_v4_3,52351529,28876821,826800edd785ab7d8a37a386fab1ee5a32e88b1a
bhop_fuhria,70300421,11381032,c26fc3fe57e0299855d599ee3ece8ee03ca5df5e
bhop_fury,51426584,31383320,b984b26e1a7475078fa1b37e0ece991b3dee609b
bhop_grayness,60131909,37095692,bf08a652a7d04fa948b5a24c31433e8ef116eebc
bhop_hfr_apex_v3,6788013,2051230,233395deec13a848ce140f63f8b31863ce4f871b
bhop_interstellar,76789293,29487022,ad7971be2be42a0db9e734fac0ba4efd840449d4
bhop_is_kewl,99603973,41926331,fe2a2c832219a6892a606b9d64b1049e574f935b
bhop_island_final,11685251,3950962,3ee742da04aba9d9e5c3e0d0bb838d073fc88f02
bhop_it_gbr_easy,30356159,22831719,8caaf83723c88be18b2b4e68c49fc1be2418712e
bhop_it_nine-up,39487975,12945118,174c54fc14edbc19ecbcb2499abc2722ce0cc30f
bhop_it_somewhere_easy,15665904,6798422,d247edc45122e98c18258431537eb966b6553ffe
bhop_ivy_final,117920560,67120277,a43570446678aeb3ffbeb3cfa0efdcff5f01f5cc
bhop_jaffa_badges,23021149,2719689,bf9afc06ea73b3157bc3395fecfe5ebfa55401b0
bhop_jalon,8192047,3524283,962e971c045b8e30b48e2f90acfd6c90cfc8cd39
bhop_japan,158993239,67093812,aab3590198e35832aedfa1f946d16f33eb0fe1f5
bhop_jbz_final,1473464,224059,0c2849a182b1dad7556dda3914d82a9c31ee1b65
bhop_jegg,47169745,20499442,241ea67089088043e23baa23ecfdbc9b1143c2f7
bhop_jegypt,18956527,13576064,ddc605802f64dfde3019b330982bf3108fb0545f
bhop_jierdas,5051600,1400971,a628d13b60c639d07d3f8237dce91ebb931f7ef7
bhop_jmj_med_v1,1104548,331679,178f01173687658a1165037c175fdbbc7d5b3627
bhop_jon_v1,16051687,4127936,9ee5ad297cff19477a11f59853c0abf46da8d7f3
bhop_joy,3071360,878183,103e9f5c4e95eeec60dee3ddc159c26859ffd7d1
bhop_jumalauta,46855437,20428209,9614bb0a81761aa2d5d320419e0843476c69ba86
bhop_jump,511428,55306,69a084c9c42893c626774af376bccd0166dae966
bhop_jump_academy_fix,4221208,1005804,5a459768765a170afe0912d32258b5bdc45c81b1
bhop_jump_jail_v7,9113188,1529997,1bb5609e50ea5a82eb3633a92362952edbdd7757
bhop_jumpstyle,15173050,9162646,32108f1a00de2f6b9c6241dfec50e64dc7ddcc3d
bhop_jungle3k,39475667,16802099,a3ec193ad9925179c90c144cf8b4bb59e362c3b6
bhop_jurfs_final,1993376,657739,62fc1d178a03f53ecb09e0e4368c06e22c5e7efc
bhop_jx,1097728,286584,63f8944442ca88ab0d5a16d9150229138e9babce
bhop_jx2,1015808,419109,62b15adc0385c5c3432e0392355693f612ddd8e7
bhop_k26000_b2,2679648,746761,4b6ef66cce62082718452885748116c8021f861b
bhop_kai_beta05,5797056,325575,da3ff304c95ddaccf5b0d3992c3189952a31a430
bhop_kai_beta05_fix_v1,5194596,1741776,d51e81cb34149d83542e62038b64ca2a0745c53e
bhop_kawaii_aux,25501009,10790475,9ef458cfc299c36e44c443adba33257ebe2fba88
bhop_keksik,6722216,2075111,7f8dcbc69c8475b4893c356b0d3ebc4d1786919d
bhop_kerpele,10113703,5742717,f48b5fda58dd4ef368b0792decaaa50419553edd
bhop_kerrostalo,14013381,5649936,ece8b32b2520e6ac60ce0ffcc16a410d484aec6e
bhop_kilter,27042299,6412900,59637ef5ce8167c932eb59cecc668467caa10bae
bhop_kiseki,14986742,4344443,66af5e387f51df37677f025696cdb2fc33c2e88a
bhop_kitjjes,22692190,7967336,8ffaa6455e895c6302ee2120c0d5f442787911bc
bhop_kiwi_cwfx,8075525,3445658,1dacd63018cf1261e7edc74ed468d5de8ce45043
bhop_knox,50444948,16684535,d57da0942c9ab2bddf83ff213563bdf6d1d933b1
bhop_kore,5179824,2026378,27ebcb7b2730fa154b2e9fb1fa78d74d12d98a96
bhop_kotodama,29714679,14300096,d631bb31c44bddd79c5174336efa63b2405a9307
bhop_kotodama2,54130252,15792351,9c726e173a262bdbf774e40d99eec77bd994c9dc
bhop_krakoonity,74379091,35388619,eae452e0a8f867818685a91ed455f2f2556d0514
bhop_kuiva,35510308,10968192,48e9d40d1729e2d8af04420e7ab5fad4638b1908
bhop_kuukkeli,68164315,30290706,2ec6854ebf6b9d5f2ce49750525b756154ab6c6d
bhop_kz_arctic,1528803,485716,83e0de50e7a5b43633dc94f5d257775666f52af7
