mapname,filesize,filesize_bz2,sha1,note
hns_3run,1983572,695998,40e507c15fc8f8f72d584718880a812871df03db,
hns_alley_v1,131255725,50887295,f547bb9655b08222326f9a4dc63b8127f226e36d,
hns_avenue_docg,41555557,14931920,97534727aa680c42599448bc334d1b8c937c8e82,
hns_awesome,5773687,2881024,abd5944512cc942c40604eaa388ecf8f6db5a926,
hns_bbcity,22462514,8833189,9c914b42b765bc898ca1f9828d80ddd498411c50,
hns_bbcity_chaos,47227151,14416123,bf1488a8745582c356e8b041848951e0e9d56801,
hns_brickworld,26197152,12264109,e2ee98d343794dd7c2f3fd5144e05631caf4ddc1,
hns_cairo,6431010,1957430,fe821ef83cc13a8604e824acee2b5bb75dabade5,
hns_casadinamica_fix,10533596,2779538,4214e5de5ed6f9b9b1f1c5262115fb7041d8d227,
hns_city,5028024,1611009,f053aed6cbd540f6fbdb244dabbea1e207511940,
hns_city_life,2664940,854285,73f21d688deb11594510b9eac48b92b0b31d4668,
hns_coastal_assault,8527852,2279175,cebfc99a15a77335b21939d81c3acaee5f59b918,
hns_devblocks_vs,1190331,520329,81cff7e19fec499022e8593d85571f0fc22a140b,
hns_floppytown_css,1928946,914171,c774367078ff8f39334df1710d20c1b6e5bbc318,
hns_floppytown_css_fix_v1,2039845,660545,671f044d36e7afb143456fcc8625e216a27680db,
hns_fpsgamerz_icecube_v4,1258160,240180,0b8e711f8fa7d652392c20af6a97d1dae95fd561,
hns_funcore,884044,299802,86d14e6629274671d0f828441aa9bf2358446a34,
hns_homestar,1714304,555079,24ea0e0e254e7b6bfd30856b270db97d9f1574d1,
hns_jukecitys_vs,12128996,4203529,b6c059dd75e499c9c587ec0aed95fc21065ec82f,
hns_jungle,9159673,4699164,73f01084a3e0bdf698c3dc1774b43d4398222cc4,
hns_lazytown,2692524,292125,a62c14c7226114cd0ce30d743e0f8205d4fb6748,
hns_lazytown2,5233152,542462,1216b563d162bf0e06c26899721a8d351e983ab5,
hns_lazytown_advanced,2144684,811195,f0f1fc380280674e07bf7d749a2c15bfb1c5897e,
hns_legends,3294708,1176766,f29b660e8d6d7142b644f6e50c33bb4e5788a488,
hns_legocity,22583233,5868937,17b036a02ad55cb0fef5aa6bdce7e0ce49ba2555,
hns_lobby,9897936,9909113,043039d3b754413d9bfc94de6f30a82e864335f1,
hns_minecraft_hd,33733695,2084845,7a72f4b8b7e5d255b21cf999a671c1cdc6357df5,
hns_moosehoose,4739284,1665333,4d3d2d4f1f70ce4061111f6fef764fbb0ad7336a,
hns_neighbourhood_newguy,14411593,4960401,949689fcc8b2f6979d4722dc537b691c5a3c05ef,
hns_newcity,2741780,820797,cb1fa849075f5a93c0de881f8aea020d654a66fe,
hns_newguy_house_final,4024449,1269993,3c2d30fe621d4002a4f24f85d023387bd1da6742,
hns_newguys_new_home_extended,9137330,3635519,8fd382e1efc0a1ab0ab02ce8daee92e6f3f8d615,
hns_nil_saturday,4476184,1560965,fc1f79c902702a1c1f58c58df43e0745e0c5559b,
hns_oldschool,2240044,179291,d19184bfbd8f7013a78bf1752836b2c7bae2b793,
hns_peace_death,11301929,3572981,3407e90d6095ae7916dc85cb82bfaa4a5ebf4fe0,
hns_rains,2523389,2523685,4c317e16f388f24e9acbc90ab2957f5893ae8c36,
hns_ritty,2904892,1164240,9a2a0f78544a44a9e44d40331263d7fc41c5ae4f,
hns_rooftops_beta10,34078078,13379950,9ae19083ffa8187f66981040e901bbb3ba135646,
hns_roofy_beta,3359868,965136,c8d92a8a9ee46fc189f6963ed553a47896423ac3,
hns_runner,12592982,5183727,66cd76ab74af65e1cbc28154d7318a7b1f8a4adf,
hns_runner_fixed,6692570,2587169,df19183d62c086f3006ce6667b769cf45b3b0ca4,
hns_rv_esip1,5742888,2058964,3fc718eb2b37e92be37b7b3b72d98ee507494777,
hns_rv_esip_e1,18918849,18929161,65cff6aa91551a20b472fc3afafe4707cd774536,
hns_skz,3827136,1574233,ade1534d68b726eda5a101d84544e48f9f20079c,
hns_slums,21116020,8596455,f345a287d60f28c47eac6694debac381032a3dce,
hns_supernova,11227057,4857932,af66221c8d80d289a9250d35ef1e304ecc380b5f,
hns_temple_pro,2949320,1047670,80ab21dd61dea57c9390e9d0ea16f61202810f2f,
hns_towers_v1,6200567,6216103,3847d0b5d60472ef5644f1eab4915c6b66437eb0,
hns_tva,5369485,5297591,dbea71984f438eb8a393d38e30b8dd747de6251f,
hns_wowzor,5416744,2042201,be894d56137e00a8c4cb48646243e0ef08d22a35,
hns_wowzor_fixed,5597016,2080229,ad07041bd03ea79a49eb8ff9fba5dac22b8dbce2,
hns_ytt_aztec,4845040,1695107,df6f6915235a8bda37b168831ebe530287e2c06c,
hns_ytt_aztec_fix,7211744,2512957,240dc7f7b88c5210c08cbdb497edeab9bc4e5c0a,
hns_ytt_ghetto,5280464,1627337,075c3841c08c74b09d2198b16b0e880a1a614fd8,
hns_ytt_village,3210200,1109774,4b65c8c2c096ac806248fa0c0aa13066575bf023,
hns_ytt_village_fix,3151720,1061682,856c5b301bc9f744a44e6d9473bc379ca702f3c6,
