mapname,filesize,filesize_bz2,sha1,url
de_event_horizon_v13b,29814976,12232945,0fbef9cdd1da0bbf16632dcab0820148c081a9c7,
dm_stargate_b7,80907958,36882720,da3aeaa56774466bed4ae194423e26f9f3ca3d1e,https://www.db-creation.net/cs-s-maps
gm_sgc_to_atlantis,142611772,65303473,e609ec96abbd2f2a714fa03a113fc5e54738a94a,https://www.db-creation.net/cs-s-maps
ma_tokra_b2_sg_a,100241400,37050734,1b7a7cea27990904e42a7fb3e313c94aade2b854,https://www.db-creation.net/cs-s-maps
sg-a_the_defiant_one,85229214,24402570,12c654ca7945aea665c01166de6bda9e5aeb77f2,https://www.db-creation.net/cs-s-maps
sg-a_tls_kheb_b2,133185282,43518072,799566d88745014424a2077d8391c9a567e8c9ee,https://www.db-creation.net/cs-s-maps
SG-A_AtlantiS_siege,117764660,44980269,f0595e7cbfe431ffc296197b1f082faf324ab407,https://www.db-creation.net/cs-s-maps
sg_a_chulak,212079796,76925211,f2ffa537462d3f80abefb05f67d08f75d921f51d,https://www.db-creation.net/cs-s-maps
sg_a_cimmeria,107124996,49264134,85357553d275d57904c09b1ed872354211b751e9,https://www.db-creation.net/cs-s-maps
sg_a_continium,35572784,6160442,c3837603fe41695ef61ea7031c563cd38ede2e2f,https://www.db-creation.net/cs-s-maps
sg_a_destiny_industry,225679884,82022297,e49c84408dcfa90b26e0f40d103d9d0b1ff78121,https://www.db-creation.net/cs-s-maps
sg_a_Nemesis,35406756,13409092,d9fae0abbb24b28d71a9073654617e2aeb165e5e,https://www.db-creation.net/cs-s-maps
sg_a_novus_sgu,109430436,44475981,0d219bff3b93d514b9f6476ef2ae47485214156a,https://www.db-creation.net/cs-s-maps
sg_a_ori_village,20870544,10288909,8bafa22242b0fbfbe04e1a8089df224bccd54dda,https://www.db-creation.net/cs-s-maps
sg_a_sanctuary,47120476,22784323,df81e3fb2bad8e503f03ed278203f9b50787afc1,https://www.db-creation.net/cs-s-maps
sg_a_temple,120735148,49645989,13f100b6b031397df363cef1b6c62804e76a727a,https://www.db-creation.net/cs-s-maps
sg_a_vengeance,41655016,12620169,b09f3f3074105fdb2d4c3a5d7329de9d7660e750,https://www.db-creation.net/cs-s-maps
sg_a_whispers,57454520,23257818,76bd6f4298ca5a90dacabe7ebdb6db02dde28ee4,https://www.db-creation.net/cs-s-maps
cs_abydos_v1,137866717,59169905,96a436b267803d42abec8b118ae9d0c2d2425927,https://www.db-creation.net/cs-s-maps
de_event_horizon_2010,11243472,3510582,1621b4319d2d170129cf8d46f536e186a4f749f2,
de_sgc_b05,1903544,907094,0ead35524f1da55d87bfe103cd8cc8fd30a5b735,
de_stargate_PB5-926_v3,39718183,10616694,9a7f3f08fd99c03bd89d2c07555b61f2a3749386,
de_stargate_sgc_v4,16590228,5369965,8df47bb6422d0689109075dc86da3034c4c2ee9e,
dm_stargate_odyssey_b1,38922415,13305093,d9dc926deee9465a62847234fbadc3eafa3185c9,
ma_cssdm_escape_b2,17200523,6170710,160e6ccfaf920bc9e510d56bb5dbf6770e1b2ac5,https://www.db-creation.net/cs-s-maps
ma_cssdm_ford_b2,25398399,9366000,36373a8e1ba03da41faa2fc32780f3a55169eab2,https://www.db-creation.net/cs-s-maps
ma_cssdm_lost_b1,42480472,22621664,f83ad96af354109734b79264465ace8c682b9f43,https://www.db-creation.net/cs-s-maps
ma_cssdm_sgcatlantis_b2b,31898729,11982132,38ec3f3bffec0fda4cbc600d48fd431b9686eb49,https://www.db-creation.net/cs-s-maps
ma_cssdm_stargate_b2,20492606,7685790,286693e1b680a9a1b0ef320c7b14b42ba8b237c5,https://www.db-creation.net/cs-s-maps
ma_cssdm_temple_small,26337326,11383645,fb002d243233989a1b6f323230ef9c6a903c9168,https://www.db-creation.net/cs-s-maps
ma_de_stardust_b2,28429193,10740846,972bfe67afbfc326bf497f789d4dc6a7bdd0f7b1,https://www.db-creation.net/cs-s-maps
ma_sgtc_temple_b5_css,34103007,14655822,f022e94577f460c5ca85df676a02b7d967bd47f4,https://www.db-creation.net/cs-s-maps
ma_tokra_b1,30586031,10866564,8eb11cc8d7771a251f874bc3afea94fb3cf7a99a,https://www.db-creation.net/cs-s-maps
mg_ab_stargate_wars_v1b,35424473,8073386,16af4aa20a4f08415c31869ed236a5952c5a6b08,
mg_puddle_jumpers_v3_rev11,38518388,8812710,ae04aeb8f2c2e061d9580168fd777207ec760c42,
sg_a_abydos_puzzle_fl,62593724,33141446,b63d771d8e05ea5c8bdd7c070c910cf999d54be5,https://www.db-creation.net/cs-s-maps
sg_a_outpost_puzzle,44221496,21013622,90704fe7d2bf5c7a58b336de622a8918d3c08981,https://www.db-creation.net/cs-s-maps
sg_a_stargate_atlantis,273644332,77235668,9c0fd933aa72efe93ae523878c1909a83044b37d,https://www.db-creation.net/cs-s-maps
sg_a_stargate_atlantis_hl2,78159028,30607445,6f8ec3ae4e24681f50bcebb2189d7a54023773bb,https://www.db-creation.net/cs-s-maps
sg_a_stargate_centre,166837000,51440730,a079063bb38339da703437091951a7b86fec8d66,https://www.db-creation.net/cs-s-maps
sg_stargate_1939_b2,22681100,3412059,9a1f22b425762876ac1407084e20ccd65455f0bd,https://www.db-creation.net/cs-s-maps
zm_sg_complex,9910800,3860895,e26fcb589eb72483943df42c5efae4b50af8f77d,
