mapname,filesize,filesize_bz2,sha1,note
deathrun_outer_space_fix,38319716,2270961,7896371e52aa51ab57ef7083c1757abee04a141d,
mg_2020_jahoukarail_easy_s,135997980,60006468,f79a0fa14ab5a227b3a7f018501298a069a9961e,
mg_2D_AlphaVersion_002k_Pakrat,26334372,13186670,d864c85524c4bd4b29e9e47c81d2935c83084ae1,
mg_acrophobia_run_v1_s,80201844,30578183,20b81e84b272b5c5d9c791b2b476e1476d64659f,
mg_anime_hardcourse_css,97470439,20555264,50817f7a4e7889131fb99f732ae32a1b0c2b796b,
mg_bifled_css_s,29901930,7835970,e7301c3c4efbb6bfafb16d46c31fa34b715aed7e,
mg_block_change_c4_s2,68846176,46905302,3b9d4a42cb3525fa1e7ae20d1e6a13faefd56b19,
mg_bob4_fix,31562780,8811593,baf5f5e3d1df631322ad74c8caea2a746937fe2c,
mg_bobii_reborn_v5_css,29673076,22821503,b4d6f05e81a1116bc389e54724da750202944a30,
mg_ctf_castle_wars,8402473,3316993,d7bfb3be251ea6d365400cbfc701236f71323c19,
mg_cyber_cour3e_v6,64484512,34829912,a9f5d9bd0c795bd37b14d61d6a90d559c69b4d9a,
mg_delphy_v4_r_s2,83086656,48700213,e371587b905b706ee76f4b3040ebc3c56e4d489c,
mg_dfs_god_space_v1_s,62944836,22976537,9cbd612b52ca1a2275e7789c014ee4cd82ce82ca,
mg_dz_blackhouse_v1_s,59277292,13414868,2d2af3c9c77749db465d4857f86949a96ed44bfe,
mg_egypt_course_2_s,81321868,37753409,49f1e3cf2a02c0220bbd67dfc4aa061a44dcface,
mg_escape_from_blackmesa_fix,73431155,23823968,6a8f77febc2164bb5ed034539ce52b0ac66edcb0,
mg_euphoria_v1b_s2,127485396,55654878,474c41e2e88cabe64f9f4b7f3dafdbb6cccb398d,
mg_fidgety_danes_s4f,49514480,17615939,72ff76ecbbcb5d6817c5bd8a8681212cfda7125b,
mg_float_block_rush_hilarious_naipi_s,184906944,50338227,f7e2584c7181965a8b1ac3cb27c58c2a0e128a58,
mg_football_v1,41225109,35340393,20f1469e235644e9a8b5a6d48bf0b0d320a43729,
mg_ibaroutai_rfix3_s,129767428,46959422,245ed8aed572fea0e8d694659d10d074916750f7,
mg_i_hate_this_map_v1_1b,14787917,11509340,9125e713fdb7f8724f58bd79b012df9ccdf8e456,
mg_koaes_s,54285644,19449276,8ce210e18d462cd5a4f6aecab2f83218e4ac5b9e,
mg_kuolon_kiip4ily,29300832,26080260,787028cb2b790a1a258b46362537225f67e1b996,
mg_last_light_v9_css,29355700,7116435,2696bfa02ecfd788c5b6d9fe3788115daa7f63e1,
mg_messy_bak1sa_s,51792852,29078286,a0f1629f00de78fe92f6275102b491bd8250482e,
mg_modern_dev_s3,38246840,10596329,4cf1de3cdb777731d558e944be042cd4abb6f221,
mg_mountain_v1_s3,104023456,35216482,4aa77228829838f98cd073fe6fccf0e37e0ab11e,
mg_nimafa_2_final_fix_css,84120843,37309369,f0663e58d51cb3a167cf6b7be895f447eb45c327,
mg_nimafa_3_final_v3_css,87133930,38379315,d235dff3baccc60015c7f3bb84244be456c03497,
mg_pauls_smash_reborn_v1_s,11303577,11323980,79cf2cb0b9f8b48b13dbf935aa5997ccc2cc8c59,
mg_pavlos_building_v1_css,30594316,19428054,7516a258043967f1baeb8a21b0201bb46c445a38,
mg_redkingdom_s2,43327296,10970993,b1af4f98790ee779eb9368f44ae818bcda8d55df,
mg_rogn_new_s,28876234,11530725,7f4e4ad82d4e03a11522b9719c91d96050c11595,
mg_siberdev_2_css,94342493,23824674,fcc279102596b794bbcb8018f1187fceaef73e02,
mg_smz_detachment_v1_s,45838152,21840508,2a770eae8ca58f1a9cffc13e56f1bcf6f75c5ecb,
mg_sng_roll_s2,24753224,6058680,44140dfa28a2b65b0395e80bfa770fc96371371d,
mg_sn_naipi_v1_s,110138824,31346845,a15f152d7e716c67597378f375ca27acb06905e0,
mg_speeeeeed_v2_csgo_s,28083612,11037879,f396447acc2179a0a613b9edb9aa1bcd18486805,
mg_wintervalley_fix,17181407,10626464,864b7d6cac7014133003da973289ccf3c30dd1ac,
object_drivable_bus_v6,11727847,1898377,509281b9c5cdf3e9eb0bc2f7f3b98d79002124a0,
r6_chalet_xmas,257412680,101548629,ee81d78a09b20b14892ba57ffd8d38b09abc7391,
