mapname,filesize,filesize_bz2,sha1
autobhop_spacebar_warrior,15925935,12526792,a9edbde95c0f087a44634d3df9281158a0f76d87
awp_rooftops_css,18671635,5065704,4bbcf3d92858193c2f599593dcf81b0ba15369d5
bb10,46346512,17390138,7c5b665af71bde5b73fd6e58eda4201a17287782
bb13,46667872,17532472,fcf614cde9e427b5a7820588334504e667837366
bb15,46870247,17636594,d60e3e8b52a35f68eb172bd15c3cae426f74bd61
bb16,46399089,17466455,b06aeab348c0599e0263f02e0456b94f82b8f232
bb18,48600594,18372607,1dd3f8df1d5ecce5af531a08dbc6b11c2179d7e7
bb3,40804096,15390251,ff89a434c009d6aa96a7d292f69a584638f4506d
bb4,41051150,15475308,6384560e6ac573a085c917e27a05d5369d31e22a
bbbb,29221142,9953442,3368e70bfb5b75f8ca6bbe2f6a943228392cccc0
bbbb2,29231724,9962889,f5eb6f828c719d5846e8edf3468f5786fbc09f4f
bbtrikz,33279755,11107491,708a59b0f2f3cc2dffa65911ffc2dd940405358a
bhop_1n5an3,2538880,550992,f33756d2f7840d6858132dbdc041b109a37da5a5
bhop_2006isback_fix,4249698,897286,94eae3b2aef0dc92f1f54a311b49ce1d7e2174d8
bhop_24,11356222,4420052,fa36814b645222f3614e0457d9fa7707681fcd5b
bhop_2_easy,1167956,93690,6ae65975c90d38d8d18c71fb46c5964c152ee9e4
bhop_2easy,3382512,514860,3c8e3d83f69ecc96b163ca6514709128d6d80fac
bhop_2flocci2furious,103933081,73154475,cb9d181a51bc431f655326c2029eb60ce47deb81
bhop_4nairda,18184119,10055622,ba3fe54a57e8ea29619d49d04020e2b9f9b14199
bhop_4u,63443779,18515509,dc76c8756f876637648587d3d34fa31d02c31e53
bhop_4zub1k_final_02,17539144,1396784,89e67f61aa0ffbef4d17c0b066142031c212d27c
bhop_aamu,22828023,8333535,752e7e63f9fd9db428b6e5a2aceeb918c870f87b
bhop_addict,35372590,15981610,132ca13a28b59825cb425d6eab663ea7ea6c7797
bhop_addict_v2,46640984,21204553,b478ae6798b8e118570909456757d7f5874ac537
bhop_adventure_v2,7747192,2179531,9c3ddc8d1a455717756cab18e2f61806055c4830
bhop_advi_fix,9811196,564254,a60bef3f2e0134f0a8df7effce05d2cdb9642241
bhop_advi_hard,9712292,550907,b1a2e46aa642f233a2828813449e247fe89ed5ec
bhop_algebradude,2379264,616959,a4eea19758a0adc691547d4ac169cb4b42a9b6e0
bhop_alley,1998200,606524,64473cbc3b36cc14025b4e4b44c7346a033f8909
bhop_alpharain,15872736,3485321,c47b8df1dbcda8a5ceb97d637f0af80becd13e31
bhop_ananas,64447880,40746014,cd137d463a2ad19d6827b6669e9e8e6d6aef24bf
bhop_andromeda,44242179,16841823,3d7228523647ffc34fef7796428e68a54dcde97c
bhop_angkor,63000076,34125906,32b1c0a2f8cbcecd4686f55d27cba0d615084bc2
bhop_another20secstrafemap,4904174,2294114,e627a0213a4c9af54b6ff92193c3f6520d568db0
bhop_anyyy,4578966,1564434,e059f9534e0079e2e549e485f2766e2caed564d9
bhop_aoki_final,13646412,4165534,a9905a9eb321dac400133e09ecdcbdfafda2ecf2
bhop_apathy,77445677,32615859,b605ece6b35a26982488dd2e6cfb91bdc0c5f9c2
bhop_aperture_beta,347383557,117429391,596626a6ea7046b37ba35d252a8c97297aec359c
bhop_appriciate,43359740,17928315,9a7cc2df840708c94e04f8f28fe93138c33cbd19
bhop_arcane2_a05,47533948,22374161,49e943ccf393ea665f13f13be8a581613f2127b5
bhop_arcane2_a06,120241496,63459662,f506cb744a060664b74a3b53c2ef1146294096cc
bhop_arcane_v1,26085973,9117485,7ee3c9ec7550d6a9e9282b92534174f9d3926b6d
bhop_asscrack_v2,6856547,3246231,b1c51005d99ea55c492fb899303c6dc9c26613a5
bhop_astara,8349228,3488300,d52f0e4923a1f7c092741e9b29a2e75c66f8a4ed
bhop_aster,12971569,5312518,791445e103607f2327b5b3f00242806bab0f04bd
bhop_at_night,2194392,408320,960937273c0d379a349f3d35b340a908df91cfb5
bhop_atmospheric_fix,78516111,53169108,852f7a5a97eb6fe7eadf713b7dca395cb30b9eb1
bhop_atom,9939277,2753394,25cd707cabc6387475f42bf002e543a6cf67bcab
bhop_atrium_fix,4928317,1406197,ddb52b759ca913f1594c338c2f8b2534c0872acc
bhop_autobadges,1336483,296735,7669854f2c92c797ac4d844f3e19493b043ff8cf
bhop_aux_a9,50881414,17522671,f8d4ca1db030f2227c7581f227d441215dac109a
bhop_awake,1892272,499483,6ca8fbb508bda5302eb681e5387841148934833a
bhop_awful2,87163489,57690205,e5ef7903c56482642ff543c08bbda1d301dbcb52
bhop_aziz,4493007,2409997,b02612f9550f01c5ea6352463a36b816789a7d51
bhop_aztec_fixed,1618224,483469,57907a4371bbbea995dddc000b60e34b06081fcd
bhop_babes_re,2079542,983365,be740f9e6925eb358b8eb1ad18355b884e3247de
bhop_badges,96409924,70446127,f698fd3d702567d250af541d81e7488d6abf4de3
bhop_badges_ez,94898472,69927728,bcbaf181b50d1cc5a08e6655fb0587dc70af9f24
bhop_badges_mini,63512040,20551243,9b852115226bb65eceaa32fdf79a63df14396718
bhop_beautiful_weather,5966500,2193249,263f92b32d1af25a54f074b2ee96e9f6778750f7
bhop_behomeby11,48571383,17823734,2b41d879132c917df28aa622cdf824d4d8e4920c
bhop_benchmark,126778012,53275101,9d951d7012608febb7e589065670d6ed53744c56
bhop_bfur,11469358,2692750,54244e5ef11723ed86744119d4633d95a49a53be
