mapname,filesize,filesize_bz2,sha1
autobhop_spacebar_warrior,15925935,12526792,a9edbde95c0f087a44634d3df9281158a0f76d87
bhop_-4-,23976640,8195485,955672314e610b9a7a36da5b6fa205ea10cffb96
bhop_0,103417304,52952311,1ae7c7edd48040b81f36e40faaa211459c90affa
bhop_0000,19148563,1413047,f8505b4942858003e3da1efb8ad3c701ffdc0ea1
bhop_0001,33124946,7623419,73a4486ac864fc21938590abe163ec29affa56ea
bhop_0002,40227683,2466208,2048645d3055bef564179d35930a7ea25fb54fd3
bhop_0003,17608777,6773310,5e7052596aba3e649e41f7913b161d8179ebfe31
bhop_101xp,165561695,129856584,854bc9f7ef29a51f351d1afb9f847fbf22b851aa
bhop_10x_final_hbs,3204884,605820,48141c011d58e243d4d7eb5507885026362b0d6c
bhop_15m,12891104,5054346,9efa65c508f985058e1eb1426b0735d534b5a80c
bhop_162,40626504,19848838,bcb24b17ec2ee820d660084fd2f32b224dfc49ae
bhop_1n5an3,2538880,550992,f33756d2f7840d6858132dbdc041b109a37da5a5
bhop_1n5an3_hard,2185780,526304,ec37f272f144fa361084e9409c06efa5290d5d4a
bhop_1ucky_for_bhopper,1567172,208776,16d62d60ebe6e7e06c6d321a0876f8270185bf2f
bhop_2001,7489438,3736628,85a304c702a51c2c4bb16549fdc0f64245517291
bhop_24,11356222,4420052,fa36814b645222f3614e0457d9fa7707681fcd5b
bhop_2_easy,1167956,93690,6ae65975c90d38d8d18c71fb46c5964c152ee9e4
bhop_2bbhop_css,3625712,1171574,fcda00d8e184544f15e21b12da8306609658009e
bhop_2easy,3382512,514860,3c8e3d83f69ecc96b163ca6514709128d6d80fac
bhop_2flocci2furious,103933081,73154475,cb9d181a51bc431f655326c2029eb60ce47deb81
bhop_2hrs,9615037,2353738,ba7099a7ae3b75c108f32503a2736cccfbdfcc2d
bhop_30m,6207465,2849643,2f185c365a34dddfe340a2812263966a6d6bd9fa
bhop_3_worlds_v2_fix,4741076,1884933,a179a283a31727208a367a6713a7c5394e47ac80
bhop_3d,4243493,939233,e5d026de25527687249c32e3eefbe75ed74154d1
bhop_404,273653604,89053305,021a2f72445d7f0c78581695ecdff5bee12ea094
bhop_406,1578668,727447,bb006b184a77ab0a8c9c4679251a731a13687420
bhop_48,10300289,2766726,9ae43d73df1549f6c065a86313fa7a0565d5789e
bhop_4appa,50655620,16324415,c6c6344c8bd0e74c8deeac62c649ea6852ebf413
bhop_4colors,35213908,15933799,e1a92fb80692cf9ef10fdc235c19b73c854414d8
bhop_4four,13184465,4887665,6ca1d59b6599919fac25651d103e1ca1bc70cd21
bhop_4stations,1479556,253163,4280c5b092ca3610da5e89edbd3393a02e54ff89
bhop_4way,119465852,55630921,4e42ef99d7355dfbc062274154c6062ce71c3183
bhop_4zub1k_final_02,17539144,1396784,89e67f61aa0ffbef4d17c0b066142031c212d27c
bhop_4zub1k_final_02_fix,12240452,1661883,d3ba9540ebad40dbd9ee0e34bdcffb2b53552bd0
bhop_600,814260,93281,a6b7c59a6b0ff8bd77181c061a96212a913f1592
bhop_64_speedrun,3373800,1080869,19dd5891f9816db7085c821c3410fef16dee5590
bhop_64unit_v2,1619960,347913,cd55b9f23143f1dfe67f02be43d769c6b6a9bcc9
bhop_aamu,22828023,8333535,752e7e63f9fd9db428b6e5a2aceeb918c870f87b
bhop_aamu2_u1,103899477,28501721,6f90530624a15ee689b0fcab71df88b319913444
bhop_abandoned,3691252,1369285,6060ccf0031eb235b014953ac7af904c7e57808c
bhop_abandoned_fish,31429198,14214303,0dc05bd21dd07180320ff1fe5742b9430e615d94
bhop_abarcy_bhwc,47415224,12725411,abb814854160c83ccc1feb16971bdf51b83eb8b7
bhop_abby_playjd,6125120,2378225,b5f82dba89579f832ad229b0496adff2f2bad33f
bhop_absolutebhop_v4,14613896,5427644,0cefc2aff70dbaa23bd63247869ccbda2c35b174
bhop_abyss,305819670,182360890,638c97ea8f8bf35ab245141913c55860d1e43d83
bhop_accelerate,33926524,4583562,20bdb9664db8b440c0e1bf1353cddcee309ca309
bhop_addict_v2,46640984,21204553,b478ae6798b8e118570909456757d7f5874ac537
bhop_adi_stonywoody,3718840,1973432,9cb807b539fbd9372848c026ed79deb96153a605
bhop_adventure_final,5232420,1594950,6c5d85561c0637bb0afab2bd5a41edd6a571bdc6
bhop_adventurous,35457600,16920294,3e60f468ddb82160d76b0a39db8e09b500fe5784
bhop_advi,9840236,573471,dc39f3d793902861719969fb3d01e30179b9197c
bhop_advi_atrxed,15346736,5156769,5920f8bc1eb37746a27f227e49937e7057363fa6
bhop_aeria,9454610,4383501,e8827a5cfb4a5d2d11ce15eb3b16219d22be364f
bhop_affliction,32198275,15838483,d4e465977dcd4ad8b8f23211dd620a8c8ed4964a
bhop_agtricks,4244752,1951021,aa3228ff94a6eb1f8f5fab5ab8aeaf8a5f102485
bhop_aimer_v3,201738016,137214295,54c349a0d02a2f7a20aed3e4d9e5cdfe408b5aef
bhop_air,18785473,7176014,a35fee3b991cac911761e7f1b10c963feb470000
bhop_airflow_v2_fix,2322435,699694,41e2155fb451763292c68a4e2de712a2e41de00c
bhop_akame,5773788,2477626,76dd6926f605293770a7d8ab01175e5e2ba26d09
bhop_alba,143965116,56416594,c54957c4c876e3c7c08a7525f7479e49b3efeaff
bhop_algebradude,2379264,616959,a4eea19758a0adc691547d4ac169cb4b42a9b6e0
bhop_alien_ruins_css,87574494,43843954,068537ae8fb134169506441817887551bb5cf2f8
bhop_alien_sewers_css,144538997,72975887,0d0814799b70f993722bdf91e92573c7ef7f36e5
bhop_alley,1998200,606524,64473cbc3b36cc14025b4e4b44c7346a033f8909
bhop_allmap,8582916,1128869,1c95c0a62a84e2ce283513e503b58fc828115e25
bhop_aloof,51283796,18121215,ee2dbba98a035d32a3daa8b45a76ac2fecef3641
bhop_alt_jestas,5263638,1829431,b99d8b09843133ffbddf05e422c807b4732fc9e2
bhop_alt_joutsen,15708983,4923169,86a262ded2ae0520dad9356808d6c290a0142786
bhop_alt_kirves,44210183,5140320,a428060080a42c7ec065864e6dca8457afc72f85
bhop_alt_kuutio,20869997,10147839,81f4a783e11009439bca04e767d650204c1a7f27
bhop_alt_olohuone,43128583,5005447,6b2b2c386dd4e5802e8948277713e606edeeede2
bhop_alt_paskin,39150625,2399142,e127bf1a4fea1a3ea811f2f0b2faebdbadc51af4
bhop_alt_saimaa,29874227,13070711,72014d5bbf3d148b032ab405c692e29bcb7bedc7
bhop_alt_salmari,9062269,4171117,635d44e2d29c24f2bedab0b7dba3973f6c7327bc
bhop_alt_tammikuu,30005162,13281314,4ca88cc5bfff3df1334048759ad1e5c851904e54
bhop_alt_terassi,19861542,9003084,6f8327113e472f264b3e663907d7d7798740c33f
bhop_alt_univaje,20574198,8432224,a364eeb0a5c9d8bdb254536645780921cb11e7ca
bhop_alt_vaahtera,50405579,7741816,6e954409033fa16ed7a87f0a7db1a6bec9f06cce
bhop_alve,3852800,1108373,5d671dc6cbcd124c880084d7122ae465ac64c5de
bhop_amaranthglow,20784688,7853776,700e89aa98e238e8e8dc4cbbcbe75f70452744f5
bhop_amor,10818392,3284142,8ca841269409b6b460719dbaebdab9fb208d869f
bhop_ample,16945688,4441223,c881d84dd3c454b8edad59c9fbfa7746b98a290d
bhop_anaaws,21292783,9350569,99ad304a87900e78994529bdd7cf8a36a46f4ed6
bhop_ananas,64447880,40746014,cd137d463a2ad19d6827b6669e9e8e6d6aef24bf
bhop_ancient,24223957,8710455,6261a2e7067d1a5eecd3ab226cc85556fe6f401f
bhop_ancient_egypt,59991144,27391013,0f87291e0acde5f80dc465dd53678fb581133cb4
bhop_ancient_temple,89657655,35348696,d8ce3697e4a5ef2ce1274b92a30cbf17a9b11bf6
bhop_andromeda,44242179,16841823,3d7228523647ffc34fef7796428e68a54dcde97c
bhop_angst,64252397,64136874,5a5598dcb56c3ad1287a70041a11b4675a3d90f8
bhop_ankha,20145270,20198550,9e15d3140ff9bc1f79a7ea9620a3070141028a2a
bhop_anotherbhopmap,12854444,4142775,ec9f060c2fd6eadf1f8c7dce6113cde46f770966
bhop_antiquity_final,4877735,1852752,e5c9c7786dc4ad546f46d95b0d7d10c1cea84cc1
bhop_anxiety,83384261,40161116,ddc001c03675edd92263a59264a475472ce0c668
bhop_aoki,10707325,2947029,6e6543709299e985fbfcb898e97dab60b028d3b3
bhop_aoki_final,13646412,4165534,a9905a9eb321dac400133e09ecdcbdfafda2ecf2
bhop_apathy,18071552,3042225,4fb9ab818535da23673a6bac776ef989e51d63f5
bhop_aperture_labs_escape_beta,50059271,35678203,d5c312d2e10c6ebfb28faba843ec6f5606d6d105
bhop_apocalypse,393521893,228870991,6804efaf5603e9b4499d0b5eb20b2e4ced8c548e
bhop_appa,24208136,8018881,fe8aa602988b50fec3eed68b70d6b6b859f86594
bhop_appriciate,43359740,17928315,9a7cc2df840708c94e04f8f28fe93138c33cbd19
bhop_apricity,67903089,35820807,87a02785a4b4c026584d058307bf202ae2837cd1
bhop_aquatic_v1,13880393,2238212,91f5b79808c250679940f171fb7055ac56ee96b0
bhop_arcane2,120241496,63459662,f506cb744a060664b74a3b53c2ef1146294096cc
bhop_arcane_v1,26085973,9117485,7ee3c9ec7550d6a9e9282b92534174f9d3926b6d
bhop_arcane_v2,96865100,40222778,f99ab65e2c1f033a6f98339fb6e8a4f1f7f2e599
bhop_arcticbhop_final,3404338,1344975,bf8f4f23d1f30c0f8760fc321c71d0983d1665ae
bhop_areaportal_v1,58871907,13559741,333e91f7dafbf95b038a636e468061d687776224
bhop_around,73825954,41578995,dc4e601ee18b49e8d40cf9d3cc9cf1a99c2a6150
bhop_artificial,30837727,12053878,1f55a2aaa59768b84d9ee910d0a18ca8e5e8cd08
bhop_asendrix_v1,105239604,37834088,9065b6a417d37ca28fd5e8ba4d1fbe0e90cb1029
bhop_asko,45300495,14390798,9a3ee25954589ad24bab7fbe78c0fb7982fcbf68
bhop_aste,14121593,4077530,8358583ae3fefda6e3a9f49001e861fc108d4c85
bhop_aster,12971569,5312518,791445e103607f2327b5b3f00242806bab0f04bd
bhop_astral,83135890,51119507,ffff1959da7b0ae0eaf225ff00ed883bad04bc80
bhop_astre,9251523,2326072,d2e5124fd4db46b2ba2c57c6174a1ad8c5b0467d
bhop_at_night,2194392,408320,960937273c0d379a349f3d35b340a908df91cfb5
bhop_atmosphere,65388968,14901320,7b2e713fb2a33f628040ecc6d315999d0d63f82f
bhop_aura,13286060,3515812,19b16fa6bad2364202bb1486d4ae18cec6adc419
bhop_austere,54659112,26617914,0505c432c54e4fe71177b54d3aa8fe38e0d846cc
bhop_autism_fixed,35951544,17621316,14964a4a4e816c0d9fd27fc0a2fd46ec80dffc20
bhop_autobadges,1336483,296735,7669854f2c92c797ac4d844f3e19493b043ff8cf
bhop_autodegr,9888410,2120177,2b0a8135b8d848a6b7c16a81be980dd2113fb866
bhop_aux_a9,50881414,17522671,f8d4ca1db030f2227c7581f227d441215dac109a
bhop_avantasia,60135678,28946174,0c059088e4e1eb5c373281c75d729741b6564af8
bhop_avantura_fixed,9060026,2545886,58babd32228217903cedec681ad8805c4b0ff0a2
bhop_average,1877860,713198,a4b688767b512de062739d362eb4b90be7abd90e
bhop_average_bhop_gbc,2198632,645874,a01b91548edb1e25dffdbdd922faa469e088bdff
bhop_awake,1892272,499483,6ca8fbb508bda5302eb681e5387841148934833a
bhop_awful,1140287,483937,e6174fb376594b989220bf8dc0b1e4e9b3ebada3
bhop_awful2,87163489,57690205,e5ef7903c56482642ff543c08bbda1d301dbcb52
bhop_awful3,14230519,5913631,ff659a92d3861a9710edce0d27133873b6cd7f56
bhop_awp_skill,2510520,120126,ceb1df578e74253b41d8bf1190b15337f0e81eeb
bhop_aziz_v2,4584497,2452713,929a8be1d9f230f723ac32b40773375aaf8520e1
bhop_aztec,3766752,1066549,35471fe6e5602b095ab26f97c2f2195999170f8d
bhop_aztec_race,3141064,940306,64b8465cdb4f8b0ff5a93a64305b3a0922780840
bhop_b1h,1710455,493060,4f8bd9c851d13d0b75d829afbfae3ceab96babf5
bhop_babes,2518920,929324,9dc7d79cfbf8e20c6061744a89c554f6db86951d
bhop_bacho_css,24230654,13899784,5e7c0f5a56180339fe7b29267950035a32c2bc1b
bhop_backens_v1,3768848,584168,92faff11eb70f3199a1210d57d03545ea7304c43
bhop_backstreet,10691218,2415514,a14da03f9de2150aa35eafee3280ee5189bb3f31
bhop_badges,96409924,70446127,f698fd3d702567d250af541d81e7488d6abf4de3
bhop_badges2,156609779,64701296,2f734be4595a0ed825938cdfaef06c85aaac29dc
