mapname,filesize,filesize_bz2,sha1,note
aim_alleybank,1882112,753719,ea9ceebf2dfe833e950cdeaf0d87d279c1283531,106022_325604_aim_alleybank_3
aim_castle-ak47-m4a1,1413548,220741,bcf6be2d297f397422239c017ecba4973f032a7f,106427_357338_aim_castle-ak47-m4a1
aim_castle,1427012,225952,c050abc1afeba6bd27f1cfd9387f4c635f93c147,106425_357340_aim_castle_2
aim_Dark_X,5924475,1938498,d19dd4a06166e32bdeba29d0aeaf1c9bdcf650ab,134365_302606_aim_dark_x
aim_deagle_forestfortress,4769357,1854700,0c9f3b3b5724a4a1272d9629b56bf0622c723118,106825_328635_aim_deagle_forestfortress
aim_professor,78436388,12230065,4703c474eb22269cab28423afee6fc441f78ac77,108405_319086_aim_professor
aim_small-Arena,7047212,1499316,55872721136af10101c47b7ede87ce951216cd10,108701_357324_aim_small-arena
aim_stoneguard,2153556,1032554,d7a4b616259f3d012366556991e3cae1eda469bc,108823_349613_aim_stoneguard
aim_zavod_yantar_v2,161890751,95028675,21066b400eaa1bdc9cbdaab56750c38731db87c8,109436_334605_aim_zavod_yantar_v2_setup
awp_dusty_dawn_v2,12887208,4139218,94ae64c3c6ed024c6d9e24d2e6437cc4e5cc2587,118446_301447_awp_dd_fixed_g37_/awp_dusty_dawn_fixed/cstrike/maps
awp_warehouse,759176,77893,eb6b6e3fb28d51212c2bf136777db7b5fcf29485,119383_357544_awp_warehouse
Ba_Jail_Groundust_DK,9612091,2202678,d3ccfde4cd79764ac4706d91ef21201e13c9c18c,129292_296150_ba_jail_groundust_dk_v3
ba_jail_immediately_final,10114383,2574616,a1a19271bfafaed79cdd539b9af58ea42708ddf8,129301_304073_ba_jail_immediately
bhop_Let_me_go,3570392,907370,f44614c3870eb23523d5e4320621e65b3a6b677d,125423_285110_bhop_let_me_go/bhop_Let_me_go
bhop_silence,8137892,2122210,24b1505538889ae0ced359564f1f7749cc2f1e66,125966_285435_bhop_silence/bhop_silence
bhop_tropics,1414428,343897,51f5b91efe136cc7ec50ea7169883902c55e97b3,126259_285360_bhop_tropics_3/bhop_tropics
block-war_v1,1523616,560041,187fd40f0b8c670893c90c91bb2eb6d592410571,100774_327683_block-war_v1
Break_Floor_Orange,2431504,370536,1d500fd19a896c582d273dc6133bdf7a1d6f2508,123378_319012_break_floor_orange
cs_docks_djfinal,9573220,3876966,976a6c7b471ee7965775f616f620dc75fdad836f,99845_361118_cs_docks_djfinal
cs_hauntedmanor_beta,17340308,8456282,8619ed1cc1ef736d7add94ca21b0452377857b5a,99961_348006_cs_hauntedmanor_beta_install/maps
cs_schweden_final,9510760,3679266,933a3b2df220edfe103789b0cd4936a61a226970,100419_362031_cs_schweden_final/cstrike/maps
cs_unreal_v2,5291164,2294825,46d2c04507b61dee7f2ac92bad19fea512914644,100568_360173_install_cs_unreal_v2/SteamApps/Counter-Strike Source/cstrike/maps
de_Detroit,14517976,5833820,078adb1bc88abe760bef6dada20e4b262fd6a18f,101839_360194_cssmap/Maps
de_ground_v1,670604,153731,fe9d112310f32b0fdcbe4506907cd3ffb5be9f67,102551_316635_de_ground_v1_2
De_SaunaWar_V1,1345176,151033,6d25d95993317ff90b758c70fcf65234c936484f,103844_300163_de_saunawar_v1/cstrike/maps
de_velvet_east,34842166,16712393,c2617266dd605bb6bf3f384eb7b7fb3b464d2508,104553_360200_de_velvet_east/maps
de_village,20289540,5825167,cc9e455b16f2f574ab8f66823b7e546a1a0744d4,104579_360195_de_village_2/Maps
Deathrun_Awesome_v2_0,3185520,423552,a35066f5ad4286347371dd740914521182f652a6,126824_324571_deathrun_awesome_v2_0bsp
dm_denial_v1,1544316,283995,e5f710aa66fc21c45ffb50ff30bcb12acf141cdc,117301_344152_dm_denial_2/maps
dm_firstmap 2,53513058,39574047,a97f74644a88447f41de3d24e481cbcc779c7090,130122_317409_dm_firstmap_22
fy_eaglesnest,6558296,3134249,cda7492797ac040de0fd3fb0703e5b26d44d724f,112311_321577_fy_eaglesnest_2/fy_eaglesnest/Cstrike/Maps
fy_simpsons,845740,369387,ea3a683a3c886afcddb22549f2a5bb83e54e0500,114245_361873_fy_simpsons
fy_uchiwa_ffa,702380,39333,f399c0fc65569a29bd0353dd461daa662960e9de,114781_308561_fy_uchiwa_ffa
fy_uchiwa_scout,702380,39333,f399c0fc65569a29bd0353dd461daa662960e9de,114782_308563_fy_uchiwa_scout
gg_2floormapv1,1343084,320255,ec01710949e1885754f5630300db7abc2f5fb604,133434_316998_gg_2floormapv1/cstrike/maps
gg_funtimes,400676,63348,d89bfa51b675b9325a994c467e1e00c7e2b382b8,134910_340321_gg_funtimes
glass_bridges,2809668,895228,21c064edf4e8f50ed488a9b62cf4e5695257d8cf,123471_327851_glass_bridgesbsp
HAPPY_NEW_YEAR_2008,16068351,5530996,78f6f408bbd80cc331df2c79d1218f65c98036a0,104817_345562_happy_new_year_2008
jb_compact_v3.0,1883828,340628,4da59b50bc356d0b2c99c8da4120606a3db9ce65,129860_327284_jb_compact_v31/cstrike/maps
ka_soccer_divx,6868204,1758708,3a511071b996bc0b4f5c52a82564101f75408f97,110468_272582_ka_soccer_divx
labombonera_v1_beta,18187580,5492224,de4503df64605a132a2fe75e00252b2e6cf62367,110594_297200_labombonera_v1_beta
m3_windtube,500460,211371,a9cd6a722c80e3a0d33c7dcccd1569d0eb5aac97,124268_335340_m3_windtunnel
maze,22859156,2070829,72ca7ee9ec830fad04d567d572d63676ab02f643,120856_330479_maze_4
mg_nade_snow_beta2,12846580,6012182,abd64b1a8d2e119c875f8a9bda39051fa4662b5d,128368_302838_mg_nade_snow_beta2
Mysterious_orange_AWP,382740,52650,19b827e6d4904dd5cae8d9a70e137175778c343a,119495_304216_mysterious_orange_awp/maps
Omaha_Beach,35533212,3069788,393014ccb843c2a892eb70753fb9973a0db5de7a,100299_348754_cs_omaha_beach_2
scoutknivz_ag_2,1868476,195159,07c3f68a59ad990d50706f7d3d8cef0c7d0bca27,121183_322589_scoutknivz_ag_2
scoutknivz_ag,1868476,195159,07c3f68a59ad990d50706f7d3d8cef0c7d0bca27,121182_322729_scoutknivz_ag
secrets_await,1806048,685755,6cbe3f3a7356ec12abb5d87df297ec69e79b50e7,116557_342879_secrets_await/Secrets_Await/Secrets_Await
Surf_Superwayne_Beta1,11246923,5106816,caa383d0875b0f48d70e290d9e385e7f885ccabb,123092_329255_surf_superwayne
WC3_Execute,1382176,512519,883f930decca7da68a87a8aeab5b53e0aee716fb,109999_340869_wc3_execute
zm_free_savage_b1v34,872392,482641,659045322a71bc17036edcacb3edf352f4853c47,131861_455491_zm_free_savage_b1_v34
zm_little_city,7959564,3362610,a58177b4ece485a03466296c97317a9654c49e75,132287_357182_zm_little_city/cstrike/maps
