mapname,filesize,filesize_bz2,sha1,note
aim_abovewater,833292,307269,81d6d0aab7a038f411f0786207393032cd07a7ad,425249_929332_abovewater
aim_texture_qcss,1806509,789438,08676232ad89cfa58d0d94b9441212faa917b425,433505_952973_maps_edb85
aimbotz,49418552,2505100,0b870b1e28e688321c56568020c984423b9e0aa2,109555_954474_css_aimbotz_eb0bd/maps
betterrombombomabom,262536,41094,5d4d16fde6665fd87f6cf1d61bd5ea8838ac8014,427053_934530_bomb_wom_a_bomb/cstrike
bhop_a03_slidekami,8574373,2694716,1c073821553e14c393c5bf3a95c9387e3dcaa941,422782_922207_bhop_a03_slidekami_8aa77
bhop_a03_slidekami,8573878,2694950,c2caaa4d27f7611de0a05544755875dabe995d2e,422782_922231_bhop_a03_slidekami_bfb9a
bhop_agentti_oranssi_v17,10044872,2298515,32342656d64db56cdde83cc8b65d2c577335f37c,431962_948496_bhop_agentti_oranssi_v17
bhop_agentti_oranssi_v17,6192116,1461654,108db8fb7f9d3de2606d5d8cced3212464aa512b,431962_948519_bhop_agentti_oranssi_v17_2b92d
bhop_agentti_oranssi_v17_fixed,6182376,1465062,8b39f1554cdd5ba28770fc97589398ee9199ef5b,431962_948713_bhop_agentti_oranssi_v17_fixed
bhop_agentti_oranssi_v17_final,6182744,1465823,f518e19152544285604396df5e84806d21fff65a,431962_949252_bhop_agentti_oranssi_v17_final
bhop_atrium2,76747945,34604391,0004a6103584b35660e3908c46778eea460100d7,428211_937715_bhop_atrium2
bhop_backrooms,222147855,136239131,883e1e696fa8bbd74507e7da21bfcc82d9649786,429260_940803_bhop_backrooms
bhop_bistro_1,26730759,5204679,5e1369974459ba36d90f5f339be80b6dbd884899,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_2,28693872,8078153,390adf77b45c207dbec7d9cd45bdda8b8c4d6345,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_3,12889379,1695481,8d6e263b4af360f3f29e338c15cf06eebcc850bd,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_4,107763648,10466828,d995c59abd83867b2530669bab2d622d37a55334,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_5,13930431,3193146,9477c49f3df51862fbbe4633d99bd02f2c96b490,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_6,17186314,2115688,28c8abc1989f25d2973f6df1b31bdc8f29fb8c11,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_7,5191462,1647467,8111d9dd8a0b3dfdad8fcc7c8e99360d04230110,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_8,6971566,614984,78dd9cf04f551b1a138adac903f68af3ebfaa2d6,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_9,10868384,1035739,98f9c005fe863f01e1c30327905f8fbf3097a393,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_bistro_10,11422231,1583634,3eccc1157b5457bc98c187e1042f3208e06ee010,433842_954031_bhop_bistro_pack/bhop_bistro pack
bhop_blinchtoeto,47649873,13160380,913bc532222773cd1c35a2ad48e33366610fca85,431413_947095_bhop_blinchtoeto
bhop_cd_karthop,11867196,4387930,0c04f66fd5666607330633cc84e6b2b427176b9a,422187_920456_bhop_cd_karthop
bhop_cg_coldbhop,15367372,4670672,bea0d8c32ee2c6c0c55dcd5b841a2a37edaf2eb2,424957_928372_kz_c9855
bhop_chroma,225382,213211,d2e6809a81138e0bbae110ef4e77d62251d607c3,433099_951747_bhop_chroma
bhop_crappychristmas2_fix,25895707,25798864,d94432d026e71a3c385624190d9f1c8fdba363e3,418625_924737_bhop_crappychristmas2_fix
bhop_cyberpog,157099840,30758937,fee31fc9bb0e7c8d7966e665c0819d5fd8afea67,430724_944937_bhop_cyberpog
bhop_dobaba,69753628,12573464,cd384460a2751781fc2120f9ed91fc44470a173a,435697_959322_bhop_dobaba
bhop_dodopizza,130408245,130618153,fcee57a188cbae515ad0bee9ead5d4408a6ab54f,425529_930087_bhop_dodopizza
bhop_dodopizza_fix,130298000,130741386,46b3e9a492d03f55cb5db5ce0f6adce298ac8cc5,425529_931465_bhop_dodopizza_fix
bhop_door_door_door,12435401,12472301,38d0d96c9331f304f8c1f1ab227ff9daa413f3e9,425992_931396_bhop_door_door_door_e00eb
bhop_eevee_evolutions,64427590,12012403,0bbe744b8ce70649194cd582dc3125fae5d8f546,432930_951305_bhop_eevee_evolutions
bhop_fire_red,6812349,2616101,34b77578fe2d4c3d05d0a19fdd39366fe0ff7161,430579_944549_bhop_fire_red_4f962
bhop_fire_red_fix,31270940,9299345,7af70edc682c3f985f5643d961f570dafb74aa13,431082_946009_bhop_fire_red_fix
bhop_flartcorp,19117369,6461030,8fcf4a0755c98b6e7f2b89df8ac7eed68a48a604,424618_927472_bhop_flartcorp
bhop_flartcorp,19117369,6461030,8fcf4a0755c98b6e7f2b89df8ac7eed68a48a604,424622_927472_bhop_flartcorp
bhop_furame,32236675,5917740,b668d0defcd9603845eb4e2107bd459ea48e2c7c,422036_920001_bhop_furame
bhop_gbc_b0ss_rmk,5918664,1701918,88380287e5c82fd8eb604f23913cad3e748d0a35,428577_938792_bhop_gbc_b0ss_rmk
bhop_grass,17033152,8138206,76fa242f8bbe5b63853937d66e865393deec0a95,420939_916840_kz_d7f97
bhop_grass_h_strafe,16300280,7923651,e3075f1c2adaad6455d750cf0258bd19fc584a10,420939_916840_kz_d7f97
bhop_kartrider,29210805,7906481,46febd38feb3ac168becb2c645fbdf30a7d3325f,426449_932651_bhop_kartrider
bhop_kz_cave,24898956,12845343,5cb9a5f9ac92069763d375dddb4f0eb42bc4c93d,424957_928372_kz_c9855
bhop_kz_cave_h,21447672,11494651,0d0f428c44ca408181bc66724f00b7b1fef2b1b5,424957_928372_kz_c9855
bhop_kz_egybhop,11271520,5516235,3ffde44c3f025acf93d3c2d850ef6ce6aa5b618a,424957_928372_kz_c9855
bhop_kz_sandbhop,7453812,3583699,999270ed608d6789bb7b583ccc70e192f2fa17ee,424957_928372_kz_c9855
bhop_legoverse,58091762,27320220,50377d936408ce9b0198b2911b2eaa2ce7b2ffb6,425383_929611_bhop_legoverse
bhop_lt_galaxy,3582740,1160999,b9086ba9f3693935f5fb30fa3f6af2680d238dd0,432026_948658_lt
bhop_lt_map_a11_fix,31602376,12578539,5dad9188516f143a6d045d413aad0c9c0269db1d,432026_948658_lt
bhop_nakolesike,115196443,32702044,2d85ff84e1a3490a7dd07212c93ff56b9eb55fee,422843_922355_bhop_nakolesike
bhop_nuisance,25231748,6771419,d9fc5732aa508f4b55a273ac9c56f129e340a75a,437888_966206_bhop_nuisance_295e3
bhop_nukor,71299234,28617124,1f07b81ac7f223ec6f29e9321819084b37c44fb0,425188_929020_bhop_nukor
bhop_paskutini,107648874,50721938,2bf64753c8f7d0fa93a99f10ecdee6434c3b8755,434505_955897_bhop_paskutini
bhop_overnight,79614416,34638778,6af77533c270bf5c9573d684472f97c3748b8b53,428211_937716_bhop_overnight
bhop_phobos,115097978,40738037,15998356806dc92ab5ef21dacc1414ab83358ea0,424406_926895_bhop_phobos
bhop_phobos,32633219,32671045,28cddb335d0043d32fc8b7a1ba66458ed024d537,424894_928227_bhop_phobos_81d25
bhop_phobos_fix,32633219,32671045,28cddb335d0043d32fc8b7a1ba66458ed024d537,424894_928361_bhop_phobos_fix
bhop_phobos_fix,32580548,32616216,deb72594285a2bf9cd9b1fb157b1eb23fdafc279,424894_928607_bhop_phobos_fix_2a581
bhop_qtp_hollow,47343670,23872196,7d750cc08b141e391719248dea0d94ea64fefd0c,424317_926603_bhop_qtp_hollow
