mapname,filesize,filesize_bz2,sha1,note
surf_matrix_v7,5840082,2412673,c4ef93425f004b5b381c0fd4921f34d983a9df91,
surf_matrix_v8,4579319,1327061,aa072bb11b2c9d34182ac09a857a71678ab6942f,
surf_MB_Overload_v1-1,4771668,1472497,c332782f2af623d02147386d8a98cb0dc65c2020,
surf_me,97524590,36136246,19e43d7f714c94214b4ebd2fde92ffd679aa0a1a,
surf_megamachine,32390742,12868517,9c697e03e8190c146e0d0c029750c368499ee713,
surf_megawave_pb,19373861,5502645,fee08aa5afc6c58a8a410a262b31637b09f04b3c,
surf_meister_v1_redux,5993912,1256447,d6e13a739dcd317c2e52de63af4f714aa83bd132,
surf_meister_v3_final2,13629952,3964197,9e61280880709f295dbf451c5c1de10e92219bf9,
surf_mesa_mine,103521496,47607003,a2276681f45f4e5c422fce2e07ff28c17e1dad0e,
Surf_Metal_LavaStorm_Final,29701908,6798399,3b96f5d507d09a8843e2b19c25574bda52a1192d,
surf_milkyway,61904758,25070114,a92780228925b1233e6781833cf512811a9eac2e,
surf_minecraft,31755364,11262537,3ceb56f9df0bd05a34fbbf06f4d432032afaf415,
surf_misc,39667280,13911186,a7900ecb4e9c175db5969847c8c10ac395b6a3ec,
surf_modern_house,92681875,38909292,112b68e6077e52a9e96d628e3acf41894baff735,
surf_molstration,15022710,3839482,a550c0b955a6e6a64af247ad1daa7057c97f8f9b,
surf_monster_dust_v2final,27922232,8439045,ac45d0eea8ab85f38dd959dd93ca5f389020d77d,
surf_monster_dust_v2final1,27922232,8439045,ac45d0eea8ab85f38dd959dd93ca5f389020d77d,
surf_nolifearena_alpha,4647432,1471911,3d6b21b29f0fb96cca9b1ac2cdaf8cc3d94e6ee5,
surf_nolifearena_beta,5610768,1792489,c36e14826879f6360c0d0e51c733a639b4efedd0,
surf_nolifearena_final,14688360,3863275,fcba9ef348f28008b7b53753dc82b9daaf268481,
surf_nostromo,122586535,55776586,fe755747a89e82784ebb282705aa885caba0058d,
surf_ny_bigloop_2008a,5813171,2150714,737fbe5ae4f14a9366616d3872e50873ad556dd0,
surf_ny_exploder_prime,11977444,3134538,48e2265506f2b759f8e88668b4f65ac74ba61820,
surf_ny_master_exploder,3471588,1010795,2820459bff43f1dad67ca8dd8d58273e47e39e14,
surf_ny_momentum_v3_1,13005888,3227840,baaf2b84dce528a4467c50abe6a8f40166fe5872,
surf_ny_momentum_v3_3,13005888,3227752,e30375ff27e4cdadc08b5c5325a0bb605fdebf42,
surf_ny_momentum_v3_3_dm,13005776,3226803,b0d86d6939f2c598f093a9fb2613b6c41b8956df,
surf_ny__resist,5583268,1777541,e17856c4239adbc9a0b5869160b6502516ea14bc,
surf_oasis,28406574,8251463,cd4d82ab9ef7d6981b29d7429a5f4fdc24421b8a,
surf_oma,24929074,5627295,1bae3903667ef968730a3aa665e670b6c38c06f8,
surf_omnibus,45309342,16333934,5df8ef3901f62208bc02716e26827aac70d13d27,
surf_orangegate,10935404,4051226,5fa2d4f0ce002ac9214286c2d512cd23372b09d3,
surf_orangegate_v2,13467196,5942783,0ba3b88fee67edd1fbed5deb98d5d91b5a65d547,
surf_Orion_v2,61262022,29195687,b0120bc941d8e90deef966bd5abd162d54277302,
surf_overgrowth,31495063,13763281,8d93bc6558fc1d430c389bbeb32946a304139f77,
surf_pleb-life2,12421537,4833920,7fd2f531d4ddfcbc8f8c0992dda669dca6c5d1f2,
