mapname,filesize,filesize_bz2,sha1
bhop_2021_aux_a,98646930,33538327,c8119ab35262124893947df3a82f465d7ced9cb8
bhop_aamu2_u2,37354583,37268394,a8911e2614bf84f2dc48311bd75ce62cf3801a5e
bhop_adventure,34309449,7435062,40a13c3e6236d2de05856601dfb643fd5c5949fa
bhop_atrium2,76747945,34604391,0004a6103584b35660e3908c46778eea460100d7
bhop_ambience,17529576,6515428,5aec33fd5b9a22707bcd84768f61c863c85c8f6a
bhop_aurelius,78134536,28262290,9429798162c9e13fb9c7a38263c3c6c342db8f87
bhop_azuras_star_dungeon,95012700,39749593,5f396e2a6e4671e03d0a1fdb32e2fd8d486952cc
bhop_backrooms,222147855,136239131,883e1e696fa8bbd74507e7da21bfcc82d9649786
bhop_balaco,209351308,79156116,17d563a0008194609d50e30c8ba20de57e294344
bhop_boeuf_bourguignon,47710103,13448674,ca2d2a79378cb6714db25f14a2256473ca1fdc62
bhop_braixen,72690092,10239583,1c2e4d9cd19416bc6ea1584714b1fa55654f55b4
bhop_c21,7583912,2513646,0b32125541b447b338acd691125e2298b2d47894
bhop_cg_coldbhop,15367372,4670672,bea0d8c32ee2c6c0c55dcd5b841a2a37edaf2eb2
bhop_cd_karthop,11867196,4387930,0c04f66fd5666607330633cc84e6b2b427176b9a
bhop_cg_wildwesthop,13035788,7354914,981d09913f0b7519455825ae717707e10414303e
bhop_chiasse,47053570,13569453,7f9451ec6a7c657106d8a9dcd93a5a8631f2a594
bhop_contamination,51007493,51161148,e1de5a98fdb2855e6658561bfd6d2636f1594398
bhop_crappychristmas2_fix,25895707,25798864,d94432d026e71a3c385624190d9f1c8fdba363e3
bhop_cyberpog,157099840,30758937,fee31fc9bb0e7c8d7966e665c0819d5fd8afea67
bhop_decay,229604689,107113454,a124c85c36a6b0d41b5d9862ba53b1cc31831a9f
bhop_dev,2105412,372858,51044157f27338669b8e5c7e0f081eb3e10c289d
bhop_dilaudid,52980941,13557800,d156a7b19fccb41d1b05010847105ae4d557c009
bhop_displacements_cheezz,5178987,1071326,7f5dcff5a7b190092130630ae17e85efbb96b8d7
bhop_dobaba,69753628,12573464,cd384460a2751781fc2120f9ed91fc44470a173a
bhop_dodopizza_fix,130298000,130741386,46b3e9a492d03f55cb5db5ce0f6adce298ac8cc5
