mapname,filesize,filesize_bz2,sha1
bhop_lego3,104324737,57879353,9446cbe0f2065f43bc29e735970508f6a623a993
Bhop_Minecraft_Winter,29879443,7296596,0832d7446eca3c2279b09a335ecdc85892daa4fd
aimers_hell,19531284,5309723,cd38e07b8cee30f06a44c6a6d9dcb254696d8a40
bhop_-1aaaaaflume,5977813,4087452,b99344829b2ba2e445bab06b0a2dc8ae708ce456
bhop_-4-,23976640,8195485,955672314e610b9a7a36da5b6fa205ea10cffb96
bhop_0,103417304,52952311,1ae7c7edd48040b81f36e40faaa211459c90affa
bhop_0000,19148563,1413047,f8505b4942858003e3da1efb8ad3c701ffdc0ea1
bhop_0001,33124946,7623419,73a4486ac864fc21938590abe163ec29affa56ea
bhop_0002,40227683,2466208,2048645d3055bef564179d35930a7ea25fb54fd3
bhop_0secondstrafemap,190568,15061,7e05ca64c730dbeb5b1d407751e4c7f584de544f
bhop_101xp,165561695,129856584,854bc9f7ef29a51f351d1afb9f847fbf22b851aa
bhop_10aa,4316981,1100420,d8fc47aecc566769b5a6d02bb001869612b1dee4
bhop_11mb_of_hell_rtv,12019625,4842836,9436a8ed51f10de3dcefd96735be6d48bc566680
bhop_13,12399852,2667871,8218361090f535a0ded5a2cff5df4ce58c0c1d6f
bhop_15m,12891104,5054346,9efa65c508f985058e1eb1426b0735d534b5a80c
bhop_162,40626504,19848838,bcb24b17ec2ee820d660084fd2f32b224dfc49ae
bhop_16384,4797834,603002,55329813c8653ed813bb05c2c20ee271bac6d7ba
bhop_1n5an3,2538880,550992,f33756d2f7840d6858132dbdc041b109a37da5a5
bhop_1n5an3_hard,2185780,526304,ec37f272f144fa361084e9409c06efa5290d5d4a
bhop_1n5an3_harder,2033152,546179,034f3408647ec1a81160180dea5816ac276df36b
bhop_1n5an3_strafe,5727335,765227,95b66f846b3afa4dc79b0fc314a1377666e4de2d
bhop_2001_straif_beta,10970996,4675774,fd42933e60a6b240b2382ba15dda616ca042bbe9
bhop_2006isback_fix,4249698,897286,94eae3b2aef0dc92f1f54a311b49ce1d7e2174d8
bhop_24,11356222,4420052,fa36814b645222f3614e0457d9fa7707681fcd5b
bhop_24_redux_new,17032677,7154996,252ecde3e2e1230ae96d350dd8ffd14af1704f60
bhop_24hrs,103760027,29878159,07d7f2b646ed6909f956769a9d9f68553ec58757
bhop_25,7709881,2217955,56ee63b9f3ab60ceef0dc8c24d1c8e42d78777b5
bhop_2_easy,1167956,93690,6ae65975c90d38d8d18c71fb46c5964c152ee9e4
bhop_2dingles1whale,3168901,862363,2ad0926987382b4c115aaffbdf96e4ce0ae5ec51
bhop_2easy,3382512,514860,3c8e3d83f69ecc96b163ca6514709128d6d80fac
bhop_2flocci2furious,103933081,73154475,cb9d181a51bc431f655326c2029eb60ce47deb81
bhop_2muddz,28987618,5863481,5e6df30d5830548771ce5b7ba1e9dc298776c98c
bhop_30m,6207465,2849643,2f185c365a34dddfe340a2812263966a6d6bd9fa
bhop_3_easy,9540689,2193974,201e25846945e0233711af23b3cecaa1047d47af
bhop_3d_fix,4243493,939244,a6936a705f18f3a5a25832c4cef651951731c5c4
bhop_3muddz,58200984,10580279,fb3c1ed94d103f7575bb4f611c99e3e14fc8a2a6
bhop_404,273653604,89053305,021a2f72445d7f0c78581695ecdff5bee12ea094
bhop_406,1578668,727447,bb006b184a77ab0a8c9c4679251a731a13687420
bhop_408,3990755,1666129,5d217e420544429df4b4f48af2385742cc0290d1
bhop_48,10300289,2766726,9ae43d73df1549f6c065a86313fa7a0565d5789e
bhop_48s,7802142,1580614,4f0df5448943ae8e49d3ce13a4b308df3104ff79
bhop_4_coffee,6069398,6093132,0c7238b128de1992785241192173d622e974db7e
bhop_4azzlackz,58808772,12175749,6e42d22c3439ca92a19f7e3a1b4502d46ffb4e96
bhop_4colors,35213908,15933799,e1a92fb80692cf9ef10fdc235c19b73c854414d8
bhop_4ez_v1,1799204,607737,2f1aaebf1e060b53198d56d31db7c7f625e0d77e
bhop_4matan,70930413,13665924,f82a1f34b3331545ae04f9af3756c17fcfe69dbd
bhop_4muddz,89914717,18369698,1e8cbc6a4e318e021380c0a6c4bdaaaaac7a355b
bhop_4nairda,18184119,10055622,ba3fe54a57e8ea29619d49d04020e2b9f9b14199
bhop_4pilfkcab,97213839,27181573,09e5d8888ab97603500eda0d02a0c80764f2471b
bhop_4u,63443779,18515509,dc76c8756f876637648587d3d34fa31d02c31e53
bhop_4u_sheissebhop,2545872,947223,4d437ace90dc6554ccba4bd9e45739bd6d40a3cf
