mapname,filesize,filesize_bz2,sha1,note
bhop_alangor,2635402,967926,56b126caf4aa0b63f1b80c66be08108b4484cc81,
bhop_dr_goldfever,32834451,13406422,8a7de0a7b705112dc26773156bccfa1ea279d566,
bhop_dr_helix,13258394,4267714,05835a09284f58aac7533f3220a15059fdb894e9,
bhop_dr_iceworld,7613214,2402520,8b44f15ed127312be05b3afaa090a295312beb74,
bhop_dr_minecraft,6601371,1712130,fb5a1b8a763c1cfeb80946f4882123c9fc9e6967,
bhop_dr_minecraft_pyramid,11914071,1802662,41b38639bfdddbf8434eccf47821d559492f82eb,
bhop_dr_simpsons_final,8211461,2184191,8548d7383e3345aa83f9c4dfc3bd7c3a0ef5584a,
bhop_dr_sonic,15294154,2618948,1f4031a1d881802966803295a1dc07f5a6c0663f,
bhop_dr_spyVspy_v2,15998715,2893668,83c6e13759162f01dc26ce67d4c457e144239b64,
bhop_dr_tropical_island,8778263,3679796,e5e7c85092cf679134a5495a046db2ed5596d5e2,
