mapname,filesize,filesize_bz2,sha1,note
cs_airport_oab_3,29038112,9051150,b63de5183767267565c736cb891a9a2d6575a34e,
cs_assault,10779556,3818081,3cba4108d7efca913497224a834e085da17de1ac,
cs_baltic_oab_3,4720228,1345454,dfb1a43af5ffafd0b4ba1a19868b29162002001e,
cs_beirut_oab_7,18523164,6074555,0fd7600f89abd15f22f79edbb6def6f283475f93,
cs_bog_oab_3,25642036,7140053,caea056361908ade8e41b9c11ff984a60ff59a9c,
cs_business_oab_2,18410108,5998659,97f4d3defb090ab274783d8d367410e9b0a77caa,
cs_cia_oab_4,43280500,13085979,3eaf0f03fad4437f0ad5c6509ef41f2daa5e4336,
cs_compound,7285256,3183723,a48a221cbda13e7382a52a7726dde133dfc8085f,
cs_crackhouse_awpclan_v12,16411011,4880627,8c551fe80dcd85afd2417fab44aedddb68e9990e,
cs_crackhouse_f5-5,5544892,2245048,6c687aed25d4ff845d40f1259406c3ee204bd32f,
cs_crackhouse_f5,4977804,2178341,2331229b2ab040335da14c611ffe4916cd98452c,
cs_crackhouse_hg_a2,2615714,1031169,d451496d7d8631f7b441d6220d21ff5ab1cfbfde,
cs_dracula_oab_2,14310316,5747261,adf8c444abe2b4ada935858596ec749631587ed7,
cs_factory_oab_2,50423364,11662668,b16143d2d412935cfff8c2d6727f0b2ccf976128,
cs_galleria_oab_2,13213688,4166982,3bdabeb95d40bd257f7bcae78e543a262a492c4f,
cs_gentech2_oab_7,14758864,3357996,d60118a84082d05ca6f388b486dc2d398a2e0be6,
cs_hangar_oab_2,12886904,4519440,855b925ebdec38fd015942d087df85a98e651946,
cs_havana,9887492,4308355,701eaac5420cb5a098ffd0ac8d4bcb07ca8bd8ba,
cs_havana_oab_3,19328332,4855557,b5ded1980af308e484a62ff809454e3a3428b9b9,
cs_hospital2_oab_2,26715636,8493403,9942d959f25e6e21059bd38615f30ac20580a31e,
cs_industrial_oab_2,32179548,11542340,ead37651ac8d1c57d8f7a9f15e0a96a530f63ef4,
cs_isku_oab_3,15058444,5381733,a1b1050578c222eb62434486c7ea533011032914,
cs_italy,8749960,4037512,965a6d0bf8823f65495b7f708932874229723bc2,
cs_logistic_oab_2,17055204,5211198,dbddcdcf10e79687f8830d16b7a9787b183b4a7e,
cs_miami_oab_1,19561496,6076858,f571364a39f2c0d9945cceeabc715fd05a259596,
cs_militia,25173348,11060254,29873e32e5d4e8433e891f8b1fdd42a546addc44,
cs_office,9830412,3861388,5f8dd23bb0626fae600772c56c708100c09f2af3,
cs_pension_oab_3,21762780,6409881,fda4babf72c5a3cde43ee9bc8b80804fa6bd8b15,
cs_siena_oab_2,10744812,4587216,e483c52182b369b46d6440e336ff74aa207d2dd1,
cs_stonetower_v2,15007018,6487193,fa3fbec98782c629f6c70fb540fef44f15b29164,
cs_thunderball_oab_3,12636632,3442145,a7cabd58006a5892c9cc4fa4120ce76a7aa2dd44,
cs_tirefactory_oab_3,19339352,3067989,96e4b71a10a64a56d8f4a33f2f621da13aa6f94e,
cs_urban_oab_4,11093852,3414818,ddef03fe4998ae30d3e50a912e8970a377932ffd,
deathrun_3_floors,5506816,1071133,cc95fe918052e70444ebfd59eb2d5e20903ee1e9,
deathrun_akai_sup3r_f1n4l,9237392,3693685,480c01510d20fcf804c46ec9cf0ecdaaee75b76d,
deathrun_ale-tech_css,13280862,4491728,2cc71ab9c08fd38c86fda48c23a7ad19efb630b8,
deathrun_amazon_b4,14948528,5332858,563c689cb4110184f61b867862bf9e366742ac46,
deathrun_ambiance,10219480,3434585,bfe8fc3895fbb9de91558988a3eedabdf4ce6727,
deathrun_arduous_final_fixed,3716800,959216,4e9b85336d6678985c111147abe74839007a6445,
deathrun_ascension_beta2,31922352,9411667,b6770b01099eeaf5d6be1cd9e70f22d5d594ff6b,
deathrun_ascension_beta3,59888084,33429274,88a6486e89be5ed876d9b6d732ad7d346956165e,
deathrun_assassinscreedv1,8011043,1993069,a4fcd04918727f0dfc7e09dbc2584992482f2d6e,
deathrun_atomic_warfare,32408271,10953386,426d22853a94cff441a13f533779f69c854ceec7,
deathrun_aztecan_hardmode_v6b,6476064,3004594,5927d0c2638b3fb5359f964918026d4b32bf100c,
deathrun_aztecan_v5,2901736,1169063,94a52f21fecb35e2a94c96c026efa7a48282a006,
deathrun_babylon_in2,15446308,6239937,8ec7e4dc8d0ae436d2c00d5f0af52ffcf5aefed3,
deathrun_block_fix,6457964,1653458,b50d3e16bc069d46575ac2665a4dfb25b66223b1,
deathrun_blood_final,5065400,2217201,64b1c91c460155f149501051c5248c38d5d0eccd,
deathrun_cats_v1,24232847,10344505,120a250e260f42973ce116b8289d8a1e2b8637fa,
deathrun_cavern_b3,12706184,5210926,aaf9012b6ad59c072792d06730d7f14248b50ee2,
deathrun_cb_egypt_v1,25638596,8716178,7f2062dbba6eb96a3285bc52bfd85b5ebea77df4,
Deathrun_Cheap_Mix_Final,8540789,2712077,a3df6867b8e6f03ba70ce4717ffa7aff6b3c74fe,
deathrun_citadel_finalfix,13719248,3390003,65e580306789ce0f031b5a97ac9dc9d5b8da263a,
deathrun_cityplatforms_v4,2745752,1066617,8b8d445e5ed369bdef7e990855b0f051932f0b0a,
deathrun_city_extended,8083936,1593093,6e1677610d2a37e87dfd021e2b8ad0e4d2c72893,
deathrun_computeroffice,5515820,2079457,84163e0b4cb3b1bbd13162cf9767e3990e724e3c,
deathrun_continent_sil_v1,12346424,2900745,60014476b443781600ffd9033ff810f16c6612b4,
Deathrun_Crash_Medievil,60174275,23506851,b889c0326310ce2e3ecd6d3dab278df642ac316a,
deathrun_cta_multistages_fix,47130990,16368952,f5a48020ea466c6194fe659676eb9c6da0a5cbe5,
deathrun_darkwoods_v4,3079767,883294,8762f57953865e3eec443cd5f40307efde7e4069,
deathrun_dark_energy_fix,15726355,6421461,3815024034ab827eb3b9938324e9718164c9c6b6,
deathrun_deathline,8240266,3480087,756656cb728d9487eeff7b835aef97855046e40a,
deathrun_decimate_finale,10515436,4739554,5afbcc97b0931019ec9d42ee02b01866b26ff6b2,
deathrun_deluxe_beta,12926039,5227553,51d366b1320dd5989356c8e81ef17ba3ffd07f9d,
deathrun_de_dust,12462876,3448592,66c2e23b486677bf83e83e12c4a68c4947f56133,
deathrun_dino_final,6787568,2515858,1ed5071c1ff27b37d6aa103fa68add7bfc8ddd23,
deathrun_docks,5159724,2181477,d97f4ba4c1996b968bf7f4a28fc3969b8994897f,
deathrun_drop,10982980,3048467,656a6e2752e11dfe4c745edc498259db865572e9,
deathrun_duellX_v4,3596268,1183985,f776df340d4437730c65af5a96eb30c7ea3ab7dc,
deathrun_dustzone_finale,18659305,11204995,e732b14f60e0356d9d181b189f9abaf0c3f54c26,
deathrun_dust_b3,28160595,11014313,23090ffe3decf6ee073ae9ff720656e029dfa725,
deathrun_erotischer,7226532,2185658,fd8b00312471897300bebf7ff7c9d9089aaa2f31,
deathrun_family_guy_final2,14574575,7018517,a05fc5defbcbde8553405c5e5ef19dd29bf3cd90,
deathrun_fantasyworld_epsilon,75585812,35331983,f84f4029a57c6b28afd2b565ba34027a880d9766,
deathrun_flatdeath_b2,17268120,5796526,e64b0321cfbf87053f0d6d42e5350a75c03b56e1,
deathrun_foundry,9565021,3957108,093ac5127c818c2ef4119a575fde5f566a71b25b,
deathrun_fukyea_reborn,42629794,23930114,5d448fa33e6abaaafb06ccdc06725396aa223b8b,
Deathrun_Goldfever_a,78735817,29377917,db2cd75288fac8a198f583b1554a0fb866cc9fd1,
Deathrun_gyro_Final_v3,8569488,2365478,9ef8e2b3690a14345ed49d3ff103aa335989e0c3,
deathrun_hauntedresidence_b3,4458324,1690249,d6d2aa1f42a22a73073729439da79a4846c3b3ed,
deathrun_helix_b8,23219370,6684324,a38917e5e34dcd4a8992bb8114bda31eb3442acf,
deathrun_holyshit_stable4,22003387,9196798,0e352e8270ee93b143c5e72e73aa4adc50f80fc9,
deathrun_holyshit_v2,22845692,5649304,0acd9294b534f5e6773c98bf6c92bc1376c068c5,
deathrun_hot_desert,17491236,6805758,a572488211e19710deda3c983982d5014dc10ad6,
deathrun_hot_desert_v9,19465917,9650612,28f5845edb3e12bc243b2ead6a02a611e83381e5,
deathrun_iceworld_v1beta,7948609,2863636,48c5b68acf5f1313c114b7970e7a4e46d3c5cfb2,
deathrun_iceworld_v2fix,9593237,3414708,1a2bab6771ea21b2bd3c70a15f566c06d41d5ea0,
deathrun_idi_domoy,42618419,37315802,66658240817489099fd03455a3719392e2bfc151,
deathrun_illusion,10728320,1632794,467cbd08b45f3fda9fdd40c48edea36e9c99ed71,
deathrun_inca_cash_fix,23061421,13719902,b5b3dcac0fccf19a18e6b8f892c2db69720d3b95,
deathrun_incredible_finalv2,20203392,8095087,0399bb50c3830deb8bcf31daec8fe53a23a94ee0,
deathrun_indianajones_v5,9346296,3300910,26e1c00bb337ac3be0ed9403ad7f6ad6e5b78ca4,
deathrun_insomnia,11949672,4771023,7d17e71d5eb74db859a0ec2d50f976b18eb0f102,
Deathrun_ItalyRats_Final,12103615,4475083,d2d04b0ee634337756f819628b65c7cc9d523816,
deathrun_italyrats_fix_v1,21616028,6592284,3d9d38666c6d308e4ec4db6d08f320dfd5077cdc,
deathrun_italy_v4_bfix,6347728,2190840,0b6683bf7d4de8981e0c0be432d5a8036603b210,
