mapname,filesize,filesize_bz2,sha1,note
bhop_progression,5148832,1061322,b257a1de2a7f8440e9d0f52fa820232aee3b214c,
cs_crackhouse_awpclan,5183740,1831772,11f35d940c12cc6f7cc0a9917574b879a2bb7fe3,
cs_crackhouse_awpclan_v11,16389979,5035771,ff949e9098fd5c9454c24f1f8ac82e860d6b77b2,
gg_blue_arena_32a,2608617,445119,9df7f4e8f44b7ef9a0ec9aa5a1c238d880ccf29a,same as gg_blue_arena_32
gg_iceworld_awpclan,1109520,390116,7868be1c12789984de8c4f31a8f1dccbdcd4dfff,"same as fy_iceworld_arena_two (very cool, awpclan)"
mg_kegs_course_v3_troll,26258637,21596033,64f8dca2024ea850dd0032070f48d12ffb87ab60,
new2v2,7934375,2353496,43ece644ce80f19cdf30109ec819f896526cd2aa,
rzcaste_v1,13838628,4128264,48a6d11a19894ab4570acaff45ad7bf8baca9f7f,
surf_arduous_la8,15259805,7274661,271f297475782ff8d4ac80b525003d276785cb2e,
surf_banocanyon_fix,10702312,2670756,ba822921f2e5365d1d22d83a11a64618175ec87f,
surf_castle,27808553,12862666,f9d6f62a7774f5c29eee2ce5a1a6ee03efb5c402,
surf_devnific17,5880204,2315427,2d740c71547835bbd111238a4539d44649ef18d4,
surf_home_sweet_skill_vibez,4283512,923075,b19c59f5a1aa53bd5046dee627d6609f8395382e,
surf_jeff_testing,45791607,18572923,0180db7c632d3d5ccb1d1798de0d4cc7ae65d5d6,also sent earlier today or something
surf_l33t_beta2g,4928484,348122,da6f5ef1a37e5f5328869d18d4048b7ab97dd322,
surf_lody_dev114,3445536,642734,4ab4624a3dec0b2470b1fae93a9afff4d9b6b94f,
surf_lody_dev115,3627452,649002,89dfd523e7d8f799b49588093c555cb2ec413b35,
surf_lody_dev116,3650520,653767,b4973edfa8cd752f2a3172efc1982a80efa41233,
surf_minigolf_test2,48266617,48287421,af0bccd57570154886e2f7bdc44734f87d991597,also sent earlier today or something
surf_only_positivity,6414505,1646076,502f3d3f87cc56032b13610def62d24841d2ba4a,
surf_pantheon_beta,149252551,63480086,dba45bc2ae31db34bb3f970a62c67dc3616a815d,also sent earlier today or something
surf_project_a0,21535644,6985465,f55cdb9e95f73496037c29983a604537ff849b2d,
surf_recoilproject1,17060032,4419336,e720915b0d61112e8b239e1b9a23cc763ca7ad7c,
surf_reprise_h,54567057,20826421,d8adea3af16d702a6100f569433e6ac171651ae5,
surf_sinseption,13424128,5708253,846bfa3d5e57a5e3c5c3a6e08ee62c3a37a1998b,
surf_ski_remix_3,26122247,3878633,314aa3b356bd33c897f12873d2cf2da70830d8c9,also on gamebanana and compiled as surf_ski_remix
surf_wip_test2,28708398,9994241,921ba493c19b43cef5bb9a4a4fe029b3b2a1af69,
test2,12689908,2757260,e72140d236635bd4824f6c06d23b36ea13fb39b9,
ze_surf_easy_or_hard_new,18106916,2481019,e59fd03bd75d0cd994ef2e6e499f8ed4c194c777,
zm_surf_born_1_2,4220414,1719975,177cb986e69934c8d048b797fd05b1f05c7440be,
trikz_advance,17464854,5000631,4b32f7b4a42f9ed37257a5f71d03d2cfad786a20,bits chicago beautifully intricate trikz server
trikz_aroundtheworld,7500804,2745563,3bd7cfdc2f0477ea25056e94f937ffac8b853e35,bits chicago beautifully intricate trikz server
trikz_asux_ameliored,29512016,14188360,360ed7585cd099f2e421bd473a6d086e5dc34446,bits chicago beautifully intricate trikz server
trikz_colors_noblack3,30975600,9121922,0d691b9c497a7d0940754804888de0eb2fdd0324,bits chicago beautifully intricate trikz server
trikz_factory,26550889,7976227,ac5ec2559f6ed9905b3605b62cf6d0f29c42d72d,bits chicago beautifully intricate trikz server
trikz_lazy,19881056,5572876,161d15e2a1ab852a8ce0c22b4b552393c3309b78,bits chicago beautifully intricate trikz server
trikz_miaou,6141048,2071251,b50f9aac293a167faa9a76d1c164bd1dcc1f1d1c,bits chicago beautifully intricate trikz server
trikz_obsidian,29740581,15836084,d0f95a87c074fcc08910dcc24a860d404751e64a,bits chicago beautifully intricate trikz server
trikz_souljaworld,36195539,13984427,b4294557a4a3895deadb2d27d16ed6f2cfe68abb,bits chicago beautifully intricate trikz server
trikz_stolen_final,117588570,49810685,f248223a3111a7e53f6b9509fedae8c2af7b6175,bits chicago beautifully intricate trikz server
trikz_suicidal,93876859,30731159,bf2c609c3573af09c34473b3fa80cbd83d3e7b75,bits chicago beautifully intricate trikz server
trikz_traningground,5337981,1480174,9fccd360905e1dd39de729ff28f458e6c1c5e9ea,bits chicago beautifully intricate trikz server
trikz_undercover,12425512,3575178,187ad77f99d6f40cff4dfa76a2d050eba3288471,bits chicago beautifully intricate trikz server
zm_citylife_big,37797432,13795140,aeb9a6310569cc2c0a84e7499cc0bf663ff018a3,adrenaline-rp.net uniques
zm_let_it_snow_v3,2400676,1129559,f14765a0eddd3657f4b5f056492403096ef8f390,adrenaline-rp.net uniques
zm_lila_panic_fixed_pf,2156188,1004596,8235dc536ba4e099d24c53c409c9c8efb5292c4f,adrenaline-rp.net uniques
zm_lila_panic_jungle,3942680,879658,87c904a69da2dfe25d56a724e86b72795b4f8460,adrenaline-rp.net uniques
zm_lila_panic_ultras_v2,2567128,499052,9db8b225ed9cfc058f5d489fa4ad0c9478adc3f7,adrenaline-rp.net uniques
zm_nomercy_airport_64,4402384,1965615,313c50b906f525dde0caa19a8451e802977de3c8,adrenaline-rp.net uniques
zm_re4_canyon,3693594,1019283,8e0dce7f43f7008757b1d0ff128b5b25d877b85b,adrenaline-rp.net uniques
zm_Red_Ray_v2_zs,40842341,15111052,e4ebf9179c38b59dc88651832fa20081c8fdf82a,adrenaline-rp.net uniques
zm_bigadmin_v2,14346472,4996446,0cfb6f16dbc7f3b69fc17f875d75a2388116f429,as-tro uniques
zm_big_cuble_maze_v1,1666076,258973,515a475f1b47f1c9194820bd2fa66e940bd91ebe,as-tro uniques
zm_chudo_escape_boom,11911301,1858110,953f856b05da86c4f9158e01318c3f5a1b1f46a4,as-tro uniques
zm_cube_v5_final,14342399,8983672,262f5138208c419369bbdba86fbd00c55cd218ef,as-tro uniques
zm_lila_epic_rhe_fixed,2024620,308777,c137011fcb4b0e2dec255277fef6a9e0f8bcf029,as-tro uniques
zm_lila_insane_final_,4097280,699336,0af644389110cd1224f8346da62bbbe507574169,as-tro uniques
zm_lila_panic_ak1,3430916,923111,e1599e946120de00f6aa3bbb8a33aa89425b567d,as-tro uniques
zm_lila_panic_cta_v1,4629552,1750637,7e02107da78407d984106f37ed1d10ca2915260c,as-tro uniques
zm_lila_panic_epix,1485036,474452,ff865eb90a0b4e337ec902457b6ae073be2821df,as-tro uniques
zm_lila_panic_frostbite,2076304,530954,c1dffc2fe3ea13979607cdca3e1314d2b99f8a31,as-tro uniques
zm_lila_panic_gangie_v14,8424600,2306008,e3093b00d94408670d1ac7fdaeae18b3cae215b6,as-tro uniques
zm_lila_panic_r3,1495456,491405,9394fbe57a5cbd86f1b349dad26cf1def4724d8c,as-tro uniques
de_rats,34141380,11048370,53db68c5b99658a2a8ad492e05a3da7655f5202e,www.autoliftservices.com_fastdownload_uniques
surf_awakening_beta_v1,8437296,2997349,9b24502b617b03e4cbf7929ca0b871a8b2115bb4,weird maps_joker_mr.25
surf_bullet,24830215,10461795,18d9d4d0485bd720ceffaa0500430c3ffb0cc249,weird maps_joker_mr.25
surf_chess_njv,35565951,10338731,6d254e3b0d61fbef8e7fb4dabcd777864adf0e0c,weird maps_joker_mr.25
surf_nodyri,6726644,2891814,fcbc94091c47045af0af16c7d60c0241d2f84b29,weird maps_joker_mr.25
surf_skyepreview_6,2641100,870699,424b9fb3dd041b4f41700ae8b5183dc0074a87e6,weird maps_joker_mr.25
surf_skyestage_3_b3,7157653,5078027,095b4edba506f94b6afab3ec4d7f1269fb63a2ec,weird maps_joker_mr.25
surf_underearth_sth,55371620,14238804,db6a2d8a4cf4fda6b1b911a61e5f8772e227995b,weird maps_joker_mr.25
bhop_bfur_walk,3034636,617414,3b8d3f35ee0c0ad2adeacce7134e352e78c054ce,surfkulturteam.site.nfoservers.com_uniq
bhop_bfur_walk_hell,6943680,1974809,8df138cf3065caa35e423dd9038fccf910f7d5f3,surfkulturteam.site.nfoservers.com_uniq
bhop_ennui1,171639852,15454509,8f49abb12bc2a00f599442f95adbc0d8de2ed6f7,surfkulturteam.site.nfoservers.com_uniq
bhop_ennui1_d,172504284,16056776,8a4e0cb7418667aa90263c7d3e0e7beea39bb3fc,surfkulturteam.site.nfoservers.com_uniq
bhop_exiled,93653908,38982833,39ff5732281cad82a485ce43df80a4e928ed9a6d,surfkulturteam.site.nfoservers.com_uniq
bhop_flartcorp_fix,18381438,6272143,a6d60a2defd69f4a731001491811ea7b29122269,surfkulturteam.site.nfoservers.com_uniq
bhop_friskv2_css,1571424,1355578,175b46e02cb51d6e5b8b6ede93b3c12578e2d35a,surfkulturteam.site.nfoservers.com_uniq
bhop_jittle123,7449654,4117580,5d08311f33312608b50a6b2bf0c2409964e02602,surfkulturteam.site.nfoservers.com_uniq
bhop_jittletest1,18472501,7937379,c46aefe31f654dde2f63c67627984204424f84a7,surfkulturteam.site.nfoservers.com_uniq
bhop_pphanjju_distance,40015004,6094509,afe9402b6a863c3e1ac51da0f3df9c65a58b0aae,surfkulturteam.site.nfoservers.com_uniq
bhop_zeroeffort_fix,109694612,794088,6c1bf6b5ab4744443bc83a5572241fe5a160cf8d,surfkulturteam.site.nfoservers.com_uniq
surf_004_final1_njv,16082467,5718272,8057e3f6c94af0db1f50fc2a4c74c638bd4d2997,surfkulturteam.site.nfoservers.com_uniq
surf_2012_njv,18933611,6799062,ec56b9acfb790f8830e8c8e5b372dca0f058c756,surfkulturteam.site.nfoservers.com_uniq
surf_29palms,84438695,32545958,23ac19031fc6185b9691a9df10047303aaec34d5,surfkulturteam.site.nfoservers.com_uniq
surf_2pacisalive,17612459,17561085,269d98596c8881fc7a829e4118923890561be8a0,surfkulturteam.site.nfoservers.com_uniq
surf_airflow_d,6455852,2071803,d09ad1af6b9fdee8bda72756801003f79d21b97f,surfkulturteam.site.nfoservers.com_uniq
surf_amantiss,97519826,47449071,7d127dd58ea381ab6a342edd98a06c97cb799039,surfkulturteam.site.nfoservers.com_uniq
surf_aqua,30783657,15101376,88d2b3a05b7a306d7df7eaba818c1e364f83294b,surfkulturteam.site.nfoservers.com_uniq
surf_atrium,21894216,6409493,99b2493208452d0534db492c5eab1bf525a20bdc,surfkulturteam.site.nfoservers.com_uniq
surf_aweles,10334921,2231778,0cf67fa40f1d69476e5f956b491f87c22d0e3d6d,surfkulturteam.site.nfoservers.com_uniq
surf_axiom2,94081438,24762568,6633871202e56e3258625c3adc528978f906be5f,surfkulturteam.site.nfoservers.com_uniq
surf_before,57698065,19775603,c1930634152cde94ddd67bba7747857569037fab,surfkulturteam.site.nfoservers.com_uniq
surf_blackout_v3,21338904,6328278,b576c6523eef4d13a8ff611c92a346e519742310,surfkulturteam.site.nfoservers.com_uniq
surf_broken,10655843,3152776,770e70092450562e2ea60f6cec863a3369407dc5,surfkulturteam.site.nfoservers.com_uniq
surf_canisius,56768307,19337696,c9d4ee9acf8eb2259d6fbd8973f23a25273d66a6,surfkulturteam.site.nfoservers.com_uniq
surf_channel_beta2,44523010,10760452,ab602fadca5c45621b5908c9be806e8c66419040,surfkulturteam.site.nfoservers.com_uniq
surf_clavius_alpha_test_current,57321393,12689984,65ecc92aaf760bac9b3a13dece9ed061fb27e1d9,surfkulturteam.site.nfoservers.com_uniq
surf_colum_up,25710549,11825838,459684719bd9d1e363282069dc8fbee0c57fb853,surfkulturteam.site.nfoservers.com_uniq
surf_commune_again_beta4,53281970,11399700,492b02f7318855558a370922614f271dfc65b906,surfkulturteam.site.nfoservers.com_uniq
surf_commune_too_beta5_fix,19112478,19170340,77592074d4fffcec51684a7ce314a1097bc20070,surfkulturteam.site.nfoservers.com_uniq
surf_compulsive_h,74070867,33120371,bdf4664e844e7262da1308a7134b3da41754e1a2,surfkulturteam.site.nfoservers.com_uniq
surf_concreteideas,106133541,26724568,c1518b9599bdb701cbd984dabba6fdeb4c49eaab,surfkulturteam.site.nfoservers.com_uniq
surf_construction_njv,17157900,7233785,98ef63b81aa2db1ce5787e42322debf216f1af99,surfkulturteam.site.nfoservers.com_uniq
surf_cookiejar,31426742,17389525,75468fb9e962cf4c42026045d93de74458624204,surfkulturteam.site.nfoservers.com_uniq
surf_cosmos,37333229,12923082,c9d609c092cfecbb2b40ffd2e5fcb3827d9912c9,surfkulturteam.site.nfoservers.com_uniq
surf_crzyfrog_reloaded_njv,19974915,8293665,6fc53b486deab7fb78ceb317bf83c444e06f5d47,surfkulturteam.site.nfoservers.com_uniq
surf_cubic,5669429,5676906,667541de35c00d4bbf0246344aafbd799a174e6c,surfkulturteam.site.nfoservers.com_uniq
surf_curious,50299382,14532267,5c6706869a786a04792d6f7ea375d61b370fc330,surfkulturteam.site.nfoservers.com_uniq
surf_delusional_njv,77703112,36801797,e47a8f3e04533d95b1f4690462579fcdc4f1b30c,surfkulturteam.site.nfoservers.com_uniq
surf_derpis_h,54540453,14461322,c17764149059513b05daea59eb29f9591971c83e,surfkulturteam.site.nfoservers.com_uniq
surf_derpis_ksf,66319973,15531596,af6dff8342a3860e371b6079c410563f18512596,surfkulturteam.site.nfoservers.com_uniq
surf_dionysus,23767506,7079479,05020ebed4f57b13838ba1608520646b385554ba,surfkulturteam.site.nfoservers.com_uniq
surf_distraction_v2,69384380,26458482,116343459a9320cba22aca536639c0aa4c528750,surfkulturteam.site.nfoservers.com_uniq
surf_driftless_beta2,30368857,5444756,3253ec84bc2af05b51b8f21cae042eb816aa93e9,surfkulturteam.site.nfoservers.com_uniq
surf_drugs_css,18770236,18834787,c6e4a2dc1018843cf3e7748b24e27b4c698eb83b,surfkulturteam.site.nfoservers.com_uniq
surf_elements_beta3,21599860,10577818,4cf07d5fee10e746a83716b1d43ac5590fce4d5d,surfkulturteam.site.nfoservers.com_uniq
surf_enlightened,42596790,42751587,332f61fcab29b52c58471678371e1c9861989cda,surfkulturteam.site.nfoservers.com_uniq
surf_enlightened_beta,152555340,49516638,30e2d167378f07574b1a3db1ba6de08778ebeb99,surfkulturteam.site.nfoservers.com_uniq
surf_enlightened_beta46,119981630,33344625,f8e9ef0e5733266f8d948177e113e26c22ee145e,surfkulturteam.site.nfoservers.com_uniq
surf_extremex,66277049,30562619,3e7f198e483e5d9d77a687c604ef4287d53c97e8,surfkulturteam.site.nfoservers.com_uniq
surf_fathom,35277209,11684559,4fcc1a327c2065174ddcc246833dbb32a105b00d,surfkulturteam.site.nfoservers.com_uniq
surf_fiellu,29887709,29620435,47cf33addb422803b903e7ea8eedbfbe42130b90,surfkulturteam.site.nfoservers.com_uniq
surf_fire_eye,15252296,6079559,8c58a8cdfcdc37655020d4afee0861f26378f89b,surfkulturteam.site.nfoservers.com_uniq
surf_flyin_fortress_njv,28171848,8980250,5c71cba7c11503bd5b62ec7aa051c57826ecce5b,surfkulturteam.site.nfoservers.com_uniq
surf_fortum,312885667,135638967,0b28366389bebd8bea42076c3d4259ec94bb40c1,surfkulturteam.site.nfoservers.com_uniq
surf_for_all,47116787,17612378,57130f9aefb038bb7480219745dfb64977d08530,surfkulturteam.site.nfoservers.com_uniq
surf_funhouse_njv,53782879,13042767,4f53eb696fccd806b14dadaf6cf794be7e5eddb2,surfkulturteam.site.nfoservers.com_uniq
surf_funhouse_static,8342964,2415515,554b1b18ad3d761800fbbc71209b06c64c35d920,surfkulturteam.site.nfoservers.com_uniq
surf_furry,99918615,43649392,1e1889b1571b586e22681213c55b326f373428cb,surfkulturteam.site.nfoservers.com_uniq
surf_glass5,22267159,8136378,e68ef2bc4e31f5484b100889e0f5181693072ef1,surfkulturteam.site.nfoservers.com_uniq
surf_glass7,7606914,2606406,dc0a23199235606f41d63630eca51a32bc65642f,surfkulturteam.site.nfoservers.com_uniq
surf_goat_fix,49858274,21882489,c5809bd041ea4eabb2b2f77a3191fd4c11ad05a7,surfkulturteam.site.nfoservers.com_uniq
surf_graphia_njv,12187163,3051698,04b524f50f1788e6914e0f61932a70577052cc9a,surfkulturteam.site.nfoservers.com_uniq
surf_gurus_njv,36314432,12128799,520d9f6630c0447751210826114394886208c7ee,surfkulturteam.site.nfoservers.com_uniq
surf_harmony,20846481,20923151,799035a8af1d91416730f4c606a5578fdd358d9e,surfkulturteam.site.nfoservers.com_uniq
surf_hero,104356407,38758453,76aebc923eb91e228eb51305c4325732d741f988,surfkulturteam.site.nfoservers.com_uniq
surf_how2surf,35598484,8960674,c08c6444586622ca63cab9a2a8d479ffd1672e2d,surfkulturteam.site.nfoservers.com_uniq
surf_interceptor,65510553,28671754,b05deeb98e1ea52559113c71165ad9f9512387fe,surfkulturteam.site.nfoservers.com_uniq
surf_interference,229344154,63507796,813adbd2db6be78d70941599438295c3f2483bfb,surfkulturteam.site.nfoservers.com_uniq
surf_junglespic_fix,13525144,4208245,fd89bccbc240ff743e233b2d27ed63c2b9e96f81,surfkulturteam.site.nfoservers.com_uniq
surf_kitsune2_8,54783113,13104180,d28775322690e1c18dbd2ac167fbd685edc7a4db,surfkulturteam.site.nfoservers.com_uniq
surf_kultur_beta,27263926,7741413,789ec9d752b1f0ce536a0b28944ade55a4351eee,surfkulturteam.site.nfoservers.com_uniq
surf_kultur_prebeta,18683894,6981641,811f7113425664a49c9aff2db04e1475925fcdef,surfkulturteam.site.nfoservers.com_uniq
surf_lab,55995690,22440553,9bc50254cca3ddaf9bfffd047647b893c93b5bd3,surfkulturteam.site.nfoservers.com_uniq
surf_lament_n2p,18780473,7425867,0e63b0b70ac593d97064643773027b6271702185,surfkulturteam.site.nfoservers.com_uniq
surf_lessons,31359395,11859301,c3cdd2b9df2a5776d7b57449cb962289128be109,surfkulturteam.site.nfoservers.com_uniq
surf_life_of_gibbon,31865964,12720875,1698e9a18856e19796d1a2a3952790da5ef4e2e6,surfkulturteam.site.nfoservers.com_uniq
surf_looksmodern,73484848,26196314,71dd8fe7a3ad34c6037b5c36c07e392ac934aafa,surfkulturteam.site.nfoservers.com_uniq
surf_lovetunnel,200396462,61944867,b72894d2936b44e8caf415ed0a6db6afdc5a1cbe,surfkulturteam.site.nfoservers.com_uniq
surf_lt_omnific_fix,88861409,33303223,f9babc33c6956d7cde6d152fffff9e57aaea6531,surfkulturteam.site.nfoservers.com_uniq
surf_lullaby_redone_rc1,86447988,50560731,53e109008f40add4b65c8645fb7b9b59ea42f523,surfkulturteam.site.nfoservers.com_uniq
surf_lyss,59622491,26596376,d3eb583e84ab8972dfc622b13a0aca5a460e37b9,surfkulturteam.site.nfoservers.com_uniq
surf_map,52336395,14928857,ad4425cd4236212ca73c8488ce10bc9b6a172f05,surfkulturteam.site.nfoservers.com_uniq
surf_marbleblast_beginner,74950759,59583224,8cd9450214878b363031ca3e56c44c627401bbfa,surfkulturteam.site.nfoservers.com_uniq
surf_marioworld_beta3,20181837,5175053,cb42b83a153a4afe35906668dd9991f2610433c1,surfkulturteam.site.nfoservers.com_uniq
surf_minuet_v1p,31011204,10464085,2b5fbbc4e03328a83f8a555c1ca1779a76900b0a,surfkulturteam.site.nfoservers.com_uniq
surf_mono,16405208,2512153,c22744cb0e4c058a35610272bd65963dbab60e51,surfkulturteam.site.nfoservers.com_uniq
surf_monolith,8359269,4559901,34a2aa2ce625c328fde64038eca042335d9f94fc,surfkulturteam.site.nfoservers.com_uniq
surf_nest_beta2,75515707,23702847,4537ef0b0244c944ff87dd4a5ebc631a536ba7ab,surfkulturteam.site.nfoservers.com_uniq
surf_newb,22479109,7427973,2f7344323604aec2866a98c31c07bd03d81edae1,surfkulturteam.site.nfoservers.com_uniq
surf_nexus,23646836,9435861,5fc9a6f4474ef6d82e421cac1b262eb01e880159,surfkulturteam.site.nfoservers.com_uniq
surf_nirvana_beta2,13801408,3262485,c6f06977021da54039bc1d2305dfd236e318df27,surfkulturteam.site.nfoservers.com_uniq
surf_no_swear_words,10790734,1332267,a6b76a048c3c32f06733990c6d705ba23e590b43,surfkulturteam.site.nfoservers.com_uniq
