mapname,filesize,filesize_bz2,sha1
Bhop_redwood_v2,3620606,1127048,d58acaa16b0fc0cfdd805251d5887717e532a79f
bhop_OLi,5772588,2807029,d5abfa621d315faf77b0561aff803bfb70831150
bhop_Protoz_2,2303360,290772,a83a693ccb7fa431db5f2e13ae0526d475f025d9
bhop_ScreeLee,30164895,14479802,630f18d34a93397c7d885195cd7aba26cfe01294
bhop_Sific,3518260,718436,90c644947b05e738b0f5682eab6b46bdf4fcd2b0
bhop_Sific_V2,3520056,719389,792116a09fb4dd24b5dd11efe76cc50483af65c6
bhop_SonicGaming_Elite,13115867,6706923,5349f6550ca91f933a6dd13552a23bc85932f2b4
bhop_Svni_v2,16352156,4191901,d1bfce96df2c599d06e3a7150b78637e1c3c41be
bhop_Tasku,10525185,4319555,bd8e83d7806f16c1bd79eb4c1f897cdbb6ef3559
bhop_TheBigLeap,8678284,284482,d108c812071b4e93f98acc30923e91930d45d465
bhop_dark_memores,50731337,20077608,c6606dfaf58b08df89d210f23fe5f7d334aaad86
bhop_darkstars,3857350,710523,62221627327a986e9cb2f9ff0c1286072054735c
bhop_dawn_b3,3139376,246744,377b70f1c2215e16d536710336947e73c0f0a870
bhop_dimensional,37753791,14186300,e5780e3c678255131e3b4a59e884c277c5231b24
bhop_disarray,42409638,13294173,0a079897964ca5939354afa1edd1f60af903d27b
bhop_ducklife_hd,34716533,11474168,052c07cfa2a94e4ecc66cdc326f0f6c61c38cd42
bhop_easy_questionmark,59733592,22487412,013ec66c15d498974f3a97ac42f700545f01ff92
bhop_force,43422498,9932675,71df9af5db93b706ef3624d2c0c59119182314b4
bhop_fps_max_sr,24744868,8416286,da9c2b12404c99039df44fa86bb196229135219e
bhop_frozen,32434354,5908772,f62bcb624778863aa600353306726b1af6c961aa
bhop_fuckfear_fix,10303137,8560762,b731e72474910a870dee1702501d2489791a5802
bhop_furret,22822410,22838376,74b880c3a3cacdda7996d45b153e67bf6008c013
bhop_horoshopokakal,35111562,8444518,0bc8abd2813fad20625049eb0714fa64fe7fa059
bhop_jaunt_5,5642576,75606,0d89d7fa55f9d95c78330d7123470fafa733409c
bhop_jegg_fix,47169745,20499442,241ea67089088043e23baa23ecfdbc9b1143c2f7
bhop_jellyfish,49918850,10052997,e2aa1435648e88101e724bde351ecd6e7ca38183
bhop_klassno,45032313,8784981,bf6839ee7ea1c95139eed2b29c395e380e840bcd
bhop_kotodama2,54130252,15792351,9c726e173a262bdbf774e40d99eec77bd994c9dc
bhop_l_speedrun,24513048,8000011,9e2c97d5b6c918ce82570ebec3c3548ce3ff37bc
bhop_lifeless_X_middle_fix_v2,33859456,13141016,a51f8fb81964498d1174aa73f61d2580fee0a6d9
bhop_lightningroad,32584150,11555013,b23194fd12ec7402cd9168c70fb793b83c192f85
bhop_lightsout,4466832,1273113,8cbf154df0ba3e27dc679f8a2da10da3ba8a05f9
bhop_lil_pump,80199792,16972998,ea8fc8f2a756da73fd7ad76d684f4e4f2f409095
bhop_lilly,86401304,55115342,c01d2a077089b0233b62c4af67ef4c8a0088f27b
bhop_limbo,137279376,85149502,a00186841f3cccd03cf0ec97308e752bf386a92e
bhop_lime_css,69141904,22773923,9aa0d9d5a8ff5b57380e9d512e8c361e4ce77fa8
bhop_limit,81320764,35190315,4b13b6706d251c1fe8c8ddb1872b3770cee6d719
bhop_linear_concrete,58422603,24773627,3cae0bf3b7c9b22d4e9554eca12e7821598305b2
bhop_linear_concrete2,134569900,66827463,cae1f989cbc3632fa9abf5bdbd8086b7c5f57a89
bhop_linear_concrete_fix,58422603,24773627,3cae0bf3b7c9b22d4e9554eca12e7821598305b2
bhop_linear_dust,26206756,9671243,373d7ff06fedee00f2ceacbff62e5206d352358b
bhop_linear_dust2,45029481,19402338,1e11d7ddf689c14f891cd4897c79179b4d038948
bhop_linear_dust_fix,26206756,9671243,373d7ff06fedee00f2ceacbff62e5206d352358b
bhop_linear_forest,72754996,27870845,4ffd00fc596eca2348af5b979bcf52f1519833cc
bhop_linear_forest1,72754996,27870845,4ffd00fc596eca2348af5b979bcf52f1519833cc
bhop_linear_forest2,131948684,56719998,d1f8c0d95c71b58a198826eba2aae6f708cac2f8
bhop_linear_gif,72608119,29289983,3d912d57c70e6a5120631d46fe28fdcb5795a3b7
bhop_linear_gif1,72608119,29289983,3d912d57c70e6a5120631d46fe28fdcb5795a3b7
bhop_linear_gif2,120995771,39363895,0103f1fbdb48cdfec6ce539c8307e3434662b565
bhop_linear_minimal,96877209,11617311,bc1949afbfddb3968ba37cefa4b5485c2ef3ef84
bhop_lined,6224433,2718687,cda43e91daaf4db48926694c08dc6a3ac34ab3cb
bhop_lininiwakulu,3044316,218856,41f8453e70c26574cb40a8d4e3496621731bfd35
bhop_liquor_spat,2680684,853514,596af133130d23e629ba58ad9388a317f256ce8d
bhop_literally_a_corridor_slide,6742947,1351393,c73d6480c916b171f44274f595ba67a5c81ee305
bhop_literalworstshit,986368,61949,a0d5b2627b42d2c49c405a5df6ef151bb1a47dee
bhop_literalworstshitevermade8or9,986368,61949,a0d5b2627b42d2c49c405a5df6ef151bb1a47dee
bhop_litpisofshit,52533661,14202602,01122162ad1d33d3710de533d423309f0fea7d23
bhop_little_lake,648660,296532,99dd657ff2d1167470c6bd73d24b2a1797cba61b
bhop_littlehardernow,1398384,250833,fef5989d64b188d7e922ede390030560dddd365d
bhop_littlequeen,29236697,9161850,e6d85519d1db3fee36d5f887e2cdd4eaa7556eb7
bhop_live,5661326,1632224,565ffe25edf24adb34f7906b22a31dd131fefb40
bhop_lj_cosmic,33069214,13705158,0df792a0608e3777a60557f9638ca76aa4b6e099
bhop_lj_minecraft_beta,5002053,863319,40522ccd9051d482bc7ea54a4e2720590245b534
bhop_lm,9755584,2052116,837911e2244d0e1ae8d1bee4bfc79764ac3592a4
bhop_lmnop,34213751,14391592,fed98f49bd13cdf105d3279d8979dbe8556e398d
bhop_log_bram,10374722,2253242,ad74974f0e96e440c06ea30ad8c5c1617b86aee7
bhop_lolamap_v2,25656209,10735454,3a0e59e9a73d8ca9ef8c0b33720019c0c0303bef
bhop_lolamap_v2_fix,24486404,5269516,4876f9172023f2b62f197417d8cf6c28f8981d89
bhop_lolauto,65471184,22856812,fecd3c6e9450096db239db3bb002ba06c8398420
bhop_london_v2,31451103,22828169,026855aa6f03123e4a81cd11f0d2c7b5171756ae
bhop_long,3666552,662975,8b5e0cddba98507a2521913bc2ec4204cdf748a3
bhop_longmapnamelol,6742947,1351393,c73d6480c916b171f44274f595ba67a5c81ee305
bhop_look,59880500,17623200,435e1f27df2e89be1e06474bca06d4100325fa31
bhop_loop_css,13768075,6148947,526429ca253d1f5c0436ef5a9ef2462a1b547b3d
bhop_lord_m4dara,67656155,40585104,985963499204fea93867ffd6f584c86c1afe943c
bhop_lordspectilas,11618176,405556,79ea31ff4c6a34893ddd3f71488ba8c696c8b7b0
bhop_lordspectilas2,20563070,958888,7d7b53ccddc61c0f6398f1cdb44e18b9461c5777
bhop_lory_alpha,5432908,686193,27eb3db4eb86ec1cc16af2f63e9045208e43be97
bhop_lost,60867444,26983706,e047f39695b7cdc19043166bb37e6e4d490ffbcc
bhop_lost_fix,60867444,26983706,e047f39695b7cdc19043166bb37e6e4d490ffbcc
bhop_lost_temple,88915185,25076331,0e999ddc7b598f80acd46a8ce7f51baeba2d468f
bhop_lost_world,121088527,73054451,6e906ee30fddce2790c79cd47c0d8983c6710add
bhop_lost_world_v2,236318848,140462479,6d3937f237e92ed1d6f448a52efd1ae1fffd8e63
bhop_lostchristmas,37859603,20524711,83eadc52c7288f9d4ee8e2f5d3867033ba011985
bhop_lostchristmas_v2,37680398,20482036,3b83d4ed8e33063b64be1f65a57e8c514b4fbe64
bhop_lowg,12121030,2941653,f71b2a6999a4891f9a8903b7273124231d248bf8
bhop_lp_canyonrace,13124305,5172245,6a58b48bfedbb91ae4c5cfcbb1e5dbc3de47e13a
bhop_lt_map_a11,32383352,12792484,f05fcd147e9f4966f0ca9b0062f478cea825f7fd
bhop_lubluebatsjavanal,107482192,24549347,c725f16731940a5b4276aaaa5f5119838d4327c2
bhop_lubluebatsjavanal_alpha,103630063,24932664,0a55a9a5477520ac94a01876e376a9c0e68a1e4d
bhop_lucenttop,4721883,2116654,fa09c54a44907bf0577ab01b57c9e1e763030276
bhop_lucenttop2,6540841,3486648,46da155dfc3957581b64c4b28abc2a4ba853e007
bhop_lucenttop3,8461564,3759366,d1b63e70c58a643696cd0f6fc5997d90f8a0670d
bhop_lucenttop4,9016165,2776879,0a41b79ae901f75ce7402c2f99b7ed1f05bf6792
bhop_lucenttop5,6508312,866415,b09bbac4acd21ddd754e5c6b66ab740fc9366282
bhop_lucenttop6,7797249,1701606,9d6151fb0244be71cc43b535cf37262f56e39a48
bhop_lucky,44908101,19301122,78c287f45de37edf972841be655c2a40a4a53a79
bhop_lumin_css,42489053,18023539,77a995ea9eb898568390ce95c241228f3c3a323b
bhop_lumino,15549864,1590972,72d91b32579fd36961e3f9cf9a64c574fc35dce4
bhop_lunar,5160532,1977652,b8be6da3ffbc4451c090721ced3f9701ff0dfd7d
bhop_lunar_beta2,42466659,14936790,936366a9546b8b14f40b08ccfc304f286117a802
bhop_lunti,8787630,1824252,e5d4941f66524c0aa13d49cb88c8a131a9850de7
bhop_lupadamadami,9796179,9724665,2c080222640f58696537d1e358187f845e039c94
bhop_lush,68440548,34634040,1c894ce799bad6eff866f72f00cc49b1af5ae51b
bhop_lusine,46669555,19168803,9a0697721bd56af3ad8ce56d611df3a84d49277b
bhop_lx_dust,28830376,3859018,db94aed7c4326913c60d56a7f494a275debb5095
bhop_lx_winter,39491087,9262879,b2f9edb948a515522742533f5e39bb0d118359a2
bhop_lyhytmappi_css,45679568,12703236,51d48565aadeb820a60e00de66cc83f2d5cad643
bhop_lyy_marble_a2,2400780,1145747,d4f56878d6922911c0d88fb8343db8b392eef4b9
bhop_lyy_marble_test,2965528,1412318,40971bea8b52af0f4a24a8993161757dc0d607a5
bhop_m,2263808,1082063,8b13590b41f4b78b99de693853d5de77e966f513
bhop_m41n5tr34m,49039685,18596655,b2bf638945b19e99e7cc45490736ae271bf517d1
bhop_m4dara_training,37512756,11321858,9e819bd092fef93bd46416ff6e7c54e6de0f2776
bhop_m_skill_fixed,5429044,2136586,80375235890799cb2aff44c8068f44c49a97fead
bhop_m_snow_fixed,1126136,434141,72ddcc3b559fbe27014fee772892c12f4dce1655
bhop_madness,2700783,748754,af7e639ddb8f609ebf1bb15c36ad7b33461252f7
bhop_mae,5410919,1008217,aaaaba06366038cc959e4fd7caf307dce897305f
bhop_magic_cave,188632342,70415337,d972c005d96f60bbbabc4a2cd12dd26dbb79f9b5
bhop_magnoir_css,10272105,2505026,ca4b99dd1f43f0a709cdff5ffdf71994b722dd80
bhop_maja,54667698,9902193,ea447ac1fafc29724940a9e5579c5f23875c45d7
bhop_majestic,116512688,52245513,dbe5c69da039e2f2f5ea6cbb2fc8e0e2d3558a80
bhop_malabar10,11180232,5076202,2b8426558fbb7588c974e7270e8fefe773417926
bhop_malabar2,8148471,2502998,ed1a04b79fc10eaa6632fd524f703b297bb26930
bhop_malabar3,10565847,3188490,43c24e69a56f3c2b9399189c0b98e1e3942a0cf5
bhop_malabar5,14455839,5296113,0e249eb7dd3d7de668aff466fa358da8ba4f91fd
bhop_malabar6,14721364,7394193,9390549e40c57cf1f8b25812274b4ef47e438168
bhop_malabar7,8061894,3083860,880bcbbcd196c3c7322fb8d3b0f1f9709a4745b4
bhop_malabar8,12149710,5355851,f5b9e9a11f71d3acadab80fea179a79831ddf0b4
bhop_malabar9,23921109,11634910,753df47f8cbca0d81879b6836f403d3af06b9d9a
bhop_mall_css,166134015,166449837,3a206318d1ccb846759f84756355ff2615205c46
bhop_mallow,7200644,530892,4b514bc375019a85127c1385bc47aa89c5515deb
bhop_maloa,3019512,844260,1905da11da0ee629460474ef80848ef86539b207
bhop_mampu_v2,25355067,16044447,4c2cb1db756ec7c37dc619d17d2e81444466e933
bhop_manpoo,29587711,12402780,4b4dca3757afad9124b5e1bb2175380b133b192c
bhop_manyroute_pro,10595075,1801882,33955747cdf40d5d085896157e484a1fead94350
bhop_mapsuck,10066483,682551,84d0e9432c94d0cb58f55139aeed4910d0f77e9d
bhop_maraton_v1,1627448,250838,8b3b6e7e58e82f1e4f1634cefb62a4cf6d23a73c
bhop_marble,5058612,813908,26ea824d6277f7af05da7aef60fd1f6f930d0243
bhop_mari,41029948,15141148,b108522fc52da6eaec6d5f0313c5885c48e282b4
bhop_marinebhop_b01,15297911,2026045,5457e5c745e14316e94334140f07a6a1a41a25fb
bhop_mario_fxd,121391219,61166116,5b28ba4957de63113f1b987584a496f193a02957
bhop_masterspike,22720190,16674296,c2ff520849c9190059cba60a63133fcff0fce269
bhop_matans,14691693,1621011,cf97c996d78199bfff25fdc65d1ef5b914325152
bhop_matches_css,94074246,32508785,4dd6b3a29c769f45c2bb8f317c0f31bbb121b142
bhop_mate,47245668,47262997,30760b98d34d7c6c6c23372879802daa8b58aef9
bhop_matemple_v1,18499237,4454486,e098d245dc0f84466bf248c00af8d0626b0742a4
bhop_mauve,34582520,10398216,784426b422aae9b6f9ae63b54ec99a0275ac46f0
bhop_max,1523500,111007,32f6c41cf9f818fd26327bbe5ebe68204cfab04a
bhop_maze,2015244,399017,a8259f04f8c93c696087401a4516683a67eeca3a
bhop_mc_soft,21944390,9526119,47440063ad4320f1b54eff4d558384feef7cb4d1
bhop_mcginis_fix,58220812,40044355,b725222210dba62b8f7a0654fb2def94ae4cbb89
bhop_mclongjump_port3,28500707,748261,4a3caf279dd92d5cc64b00aec16204a3bae9fd8b
bhop_meaningless,78830488,32904648,5639a847538fae30a75e0a74dec5e7c5412cb96e
bhop_measure_three,2741656,981574,ec9ac8a8d94722f9425beed4a80f52a0608ce3cf
bhop_medusozoa,58574132,20112439,aff2b6f56d4d44129bcb8288dd1b40efbde420f3
bhop_mee_vauhikkaast,8505377,3051551,9047f44a5830f298017d6e17574050f48ff864d1
bhop_megabhop_fixed,2277584,697061,54b44bf971ff16af02a7f71b727193ed895be802
bhop_megasphere,2901765,1234640,2b1fc98f6a3cd413f1d65aaf0637798a6756127e
bhop_meiiko,45073590,7421340,4076d45aaabf341814eefc3a3a68d232fb2075a7
bhop_melancholy,28858153,8867882,2b02fbe3af39f1bde12a3efcd5c66d7fee3bc093
bhop_mellifluous,18305388,7921709,afd48faf1b02b4d1e8f2327bf7f9603c3e9a9ba5
bhop_mellowed_fix,40459580,18280748,d3b97374e47dfb7153338c2a5b9807a09879c22f
bhop_meme,515532,35503,40958352542196295afdbc432e8dc2c2c7921ece
bhop_meme_v2,47926002,23071702,58ce57417a63c8de1a9abdd347080d98d7a13f0f
bhop_memories,3109530,1226636,eecee903730d4efb82f0b8877b99a3a368a27202
bhop_memories_final,5369934,3572179,8af75e5b65a9172f28351dbb1ee60090f326ac49
bhop_memory,242061525,133519854,7d07f6b7c3ae185a5406fb2ffd7d2c31371ac54c
bhop_menix,2660052,649136,79a3ae8c29d2750d1ed6bd5230787c5fa39554f0
bhop_mentality,58215370,24989356,cdeea964194e8900d83667b176154e61d42f3a7a
bhop_mercurial,59804535,17931837,7c475168718b9f028f4bac59848b10e1d2a2b3bb
bhop_merzy,109389821,55718260,5ca91f9c00a59d5ed241163aec7d2928a7b4f723
bhop_messs,18184526,8381287,766c4a0c5717c1f7b017afaa98cac3bb806abb5c
bhop_messs_123,23710828,10389824,4ebf50887a6566a3cc8c8c1b577c012e63080515
bhop_meta,4515060,1899597,4cd4abc6dc7d97a667a1448fc14cc27de0b74333
bhop_meta_fix,4515060,1899597,4cd4abc6dc7d97a667a1448fc14cc27de0b74333
bhop_metal,9652210,2263019,5d4df9ef819ea6d7c7278e12d8d71f485a74c780
bhop_metal_v2,10494396,2456934,804e5d45424dcc795fee6d97981dc27fe4eb723f
bhop_metalic,8146168,2803026,337a15dd87a2cc61c553b544d3635fcf644f5f13
bhop_metallic2,50024206,17605601,48405581bb27c9e0176bfd538f51bc108a004801
bhop_meteors,148865096,9487490,2395cfa3f7385cd1b9a6dc4387be4a1362df74f7
bhop_meteors_lf,52229651,9856135,077873f3b8d37e9c4e99ab6344daa723e4dd462d
bhop_meteors_v2,51871809,9554640,ba180efe75335515bf9913611add9d9a9b10fe63
bhop_metra,17237793,7256720,f2d3c4f28f52730cd7471c38ae95ccb7a23357f6
bhop_metra2,43664814,17540013,974da9088e750d37fcb048647a6abc2da543ee22
bhop_metric,5521640,2539294,6583474096a36f500fc75052a1ec3cb8cd0636ba
bhop_mg_bhop4yanisou_css,7838837,1692469,45ec94a3c2152391ff03d22a261064364d2e1a39
bhop_miansai,94553140,18337524,407769efc4b1c9c8770f3e33028ec7d3ab6ac590
bhop_microsoft,17360396,8519866,f65d5e5ec248f4b01244a607255b04e7189b9aa2
bhop_microwave,9243718,2711307,f0bbf26a2f4d90fa4c8c4aaaa53333d65bf2635f
bhop_midnight,90216068,21249962,71bf4a8f6882b96769bf7e91c43669f7ebfba336
bhop_miku_v2,75766842,32316583,ea343c6474bfee15e7d2a61ff86916861e720314
bhop_miles,8662180,3406691,b6f3bff717142e702e4329096bd4645b175bd78a
bhop_military,13550609,4993639,3d8b0f650b9270dee38680d835d62297e0aacf33
bhop_militia,4784204,1019126,2e533c1ac6242b741c898cfa3d0e3807e0e4713c
bhop_militia_v2,10267732,3302092,552ffd5ac9b5f90f6b0348416a3cc238c068c7fd
bhop_miller_d,2230906,914554,f845ab0e7eb92c119d14cdfe2d574fc535406a3d
bhop_min,6739606,2775333,6135777583000784d82e6b5c976fd4de346e5b36
bhop_min_v2,6743370,2777115,df61fc42b745a6642f727a5829ed4f72d2c7b12e
